9.2 Value of full-time loans by jurisdiction since 1964 ($ million),,,,,,
REF_YEAR,GEO ,LoanAmount,,,,
1964-1965,Canada,26.7,,,,
,Newfoundland and Labrador,0.5,,,,
,Prince Edward Island,0.3,,,,
,Nova Scotia,1.8,,,,
,New Brunswick,1.4,,,,
,Ontario,14.4,,,,
,Manitoba,1.4,,,,
,Saskatchewan,1.9,,,,
,Alberta,2.1,,,,
,British Columbia,3.1,,,,
,Yukon,0.01,,,,
1965-1966,Canada,34.6,,,,
,Newfoundland and Labrador,0.9,,,,
,Prince Edward Island,0.4,,,,
,Nova Scotia,2.9,,,,
,New Brunswick,2.3,,,,
,Ontario,14.6,,,,
,Manitoba,2.2,,,,
,Saskatchewan,3.4,,,,
,Alberta,3.1,,,,
,British Columbia,4.8,,,,
,Yukon,0.02,,,,
1966-1967,Canada,40.5,,,,
,Newfoundland and Labrador,0.8,,,,
,Prince Edward Island,0.6,,,,
,Nova Scotia,3.3,,,,
,New Brunswick,3,,,,
,Ontario,14.4,,,,
,Manitoba,2.8,,,,
,Saskatchewan,4.5,,,,
,Alberta,4.4,,,,
,British Columbia,6.6,,,,
,Yukon,0.02,,,,
1967-1968,Canada,57.3,,,,
,Newfoundland and Labrador,1.1,,,,
,Prince Edward Island,0.7,,,,
,Nova Scotia,4.3,,,,
,New Brunswick,4.2,,,,
,Ontario,23.6,,,,
,Manitoba,3.2,,,,
,Saskatchewan,5.8,,,,
,Alberta,6.3,,,,
,British Columbia,8,,,,
,Yukon,0.01,,,,
1968-1969,Canada,63.9,,,,
,Newfoundland and Labrador,1.5,,,,
,Prince Edward Island,0.8,,,,
,Nova Scotia,5.1,,,,
,New Brunswick,4.8,,,,
,Ontario,26.6,,,,
,Manitoba,3.4,,,,
,Saskatchewan,6.4,,,,
,Alberta,8.1,,,,
,British Columbia,7.3,,,,
,Yukon,0.02,,,,
1969-1970,Canada,78.1,,,,
,Newfoundland and Labrador,3.1,,,,
,Prince Edward Island,0.9,,,,
,Nova Scotia,7,,,,
,New Brunswick,5.4,,,,
,Ontario,31.8,,,,
,Manitoba,4.3,,,,
,Saskatchewan,8.4,,,,
,Alberta,10.5,,,,
,British Columbia,6.6,,,,
,Yukon,0.02,,,,
1970-1971,Canada,86.1,,,,
,Newfoundland and Labrador,4.9,,,,
,Prince Edward Island,1.4,,,,
,Nova Scotia,7.9,,,,
,New Brunswick,6.5,,,,
,Ontario,32.3,,,,
,Manitoba,3.4,,,,
,Saskatchewan,8.5,,,,
,Alberta,14.3,,,,
,British Columbia,6.8,,,,
,Yukon,0.02,,,,
1971-1972,Canada,87.5,,,,
,Newfoundland and Labrador,5.5,,,,
,Prince Edward Island,1.6,,,,
,Nova Scotia,8.8,,,,
,New Brunswick,6.7,,,,
,Ontario,33.5,,,,
,Manitoba,4.1,,,,
,Saskatchewan,7.3,,,,
,Alberta,13.8,,,,
,British Columbia,6.1,,,,
,Yukon,0.03,,,,
1972-1973,Canada,102.3,,,,
,Newfoundland and Labrador,6.7,,,,
,Prince Edward Island,2.1,,,,
,Nova Scotia,10.2,,,,
,New Brunswick,7.5,,,,
,Ontario,45.1,,,,
,Manitoba,3.7,,,,
,Saskatchewan,6.8,,,,
