"","institutionName","programName","numOfBorrowers","receivedAssistance","AssistanceParticipationRate"
"1","ALGOMA UNIVERSITY COLLEGE","Agricultural And Biological Sciences",6,1,16.7
"2","ALGOMA UNIVERSITY COLLEGE","Business and Commerce",36,15,41.7
"3","ALGOMA UNIVERSITY COLLEGE","Computer Science",10,2,20
"4","ALGOMA UNIVERSITY COLLEGE","Fine And Applied Arts",11,3,27.3
"5","ALGOMA UNIVERSITY COLLEGE","Humanities",13,4,30.8
"7","ALGOMA UNIVERSITY COLLEGE","Other Arts and Science",9,6,66.7
"8","ALGOMA UNIVERSITY COLLEGE","Social Sciences",39,14,35.9
"10","BROCK UNIVERSITY","Business and Commerce",311,90,28.9
"11","BROCK UNIVERSITY","Computer Science",18,3,16.7
"12","BROCK UNIVERSITY","Education (Teacher Training)",287,73,25.4
"13","BROCK UNIVERSITY","Fine And Applied Arts",38,14,36.8
"14","BROCK UNIVERSITY","Kinesiology, Recreation And Physical Education",15,3,20
"15","BROCK UNIVERSITY","Nursing",43,8,18.6
"16","BROCK UNIVERSITY","Other Arts and Science",1284,387,30.1
"18","CARLETON UNIVERSITY","Architecture And Landscape Architecture",52,19,36.5
"19","CARLETON UNIVERSITY","Business and Commerce",174,60,34.5
"20","CARLETON UNIVERSITY","Computer Science",64,20,31.3
"21","CARLETON UNIVERSITY","Engineering",269,58,21.6
"22","CARLETON UNIVERSITY","Fine And Applied Arts",33,11,33.3
"24","CARLETON UNIVERSITY","Journalism",56,17,30.4
"25","CARLETON UNIVERSITY","Mathematics",24,8,33.3
"26","CARLETON UNIVERSITY","Other Arts and Science",1297,535,41.2
"27","CARLETON UNIVERSITY","Social Sciences",89,33,37.1
"30","LAKEHEAD UNIVERSITY","Business and Commerce",44,16,36.4
"31","LAKEHEAD UNIVERSITY","Education (Teacher Training)",274,111,40.5
"32","LAKEHEAD UNIVERSITY","Engineering",200,36,18
"33","LAKEHEAD UNIVERSITY","Fine And Applied Arts",8,2,25
"34","LAKEHEAD UNIVERSITY","Forestry",23,3,13
"35","LAKEHEAD UNIVERSITY","Humanities",318,109,34.3
"36","LAKEHEAD UNIVERSITY","Kinesiology, Recreation And Physical Education",112,42,37.5
"37","LAKEHEAD UNIVERSITY","Nursing",75,16,21.3
"38","LAKEHEAD UNIVERSITY","Other Arts and Science",19,4,21.1
"40","LAKEHEAD UNIVERSITY","Social Sciences",78,23,29.5
"42","LAURENTIAN UNIVERSITY","Business and Commerce",61,24,39.3
"43","LAURENTIAN UNIVERSITY","Computer Science",6,2,33.3
"44","LAURENTIAN UNIVERSITY","Education (Teacher Training)",130,30,23.1
"45","LAURENTIAN UNIVERSITY","Engineering",23,3,13
"46","LAURENTIAN UNIVERSITY","Kinesiology, Recreation And Physical Education",25,4,16
"47","LAURENTIAN UNIVERSITY","Nursing",55,10,18.2
"48","LAURENTIAN UNIVERSITY","Other Arts and Science",381,118,31
"49","LAURENTIAN UNIVERSITY","Social Sciences",61,19,31.1
"50","MCMASTER UNIVERSITY","Agricultural And Biological Sciences",286,103,36
"51","MCMASTER UNIVERSITY","Business and Commerce",358,93,26
"52","MCMASTER UNIVERSITY","Computer Science",45,15,33.3
"53","MCMASTER UNIVERSITY","Engineering",676,125,18.5
"54","MCMASTER UNIVERSITY","Fine And Applied Arts",43,17,39.5
"55","MCMASTER UNIVERSITY","Humanities",153,45,29.4
"56","MCMASTER UNIVERSITY","Kinesiology, Recreation And Physical Education",14,0,0
"57","MCMASTER UNIVERSITY","Mathematics",19,7,36.8
"58","MCMASTER UNIVERSITY","Medicine",138,1,0.7
"59","MCMASTER UNIVERSITY","Nursing",109,17,15.6
"60","MCMASTER UNIVERSITY","Other Arts and Science",659,208,31.6
"61","MCMASTER UNIVERSITY","Other Health Professions",169,32,18.9
"62","MCMASTER UNIVERSITY","Physical Sciences",22,1,4.5
"63","MCMASTER UNIVERSITY","Social Sciences",239,92,38.5
"64","MCMASTER UNIVERSITY","Theology",11,6,54.5
"65","MCMASTER UNIVERSITY","Therapy And Rehabilitation",78,17,21.8
"68","MCMASTER UNIVERSITY","Business and Commerce",95,30,31.6
"69","MCMASTER UNIVERSITY","Computer Science",5,1,20
"70","MCMASTER UNIVERSITY","Education (Teacher Training)",448,126,28.1
"71","MCMASTER UNIVERSITY","Fine And Applied Arts",7,4,57.1
"72","MCMASTER UNIVERSITY","Kinesiology, Recreation And Physical Education",16,1,6.3
"73","MCMASTER UNIVERSITY","Nursing",57,10,17.5
"74","MCMASTER UNIVERSITY","Other Arts and Science",193,62,32.1
"75","MCMASTER UNIVERSITY","Other Education",8,3,37.5
"76","MCMASTER UNIVERSITY","Social Sciences",21,6,28.6
"77","NORTHERN ONTARIO SCHOOL OF MEDICINE","Medicine",41,3,7.3
"78","ONTARIO COLLEGE OF ART AND DESIGN","Fine And Applied Arts",495,236,47.7
"79","QUEEN'S UNIVERSITY","Business and Commerce",131,21,16
"80","QUEEN'S UNIVERSITY","Computer Science",23,4,17.4
"81","QUEEN'S UNIVERSITY","Education (Teacher Training)",356,123,34.6
"82","QUEEN'S UNIVERSITY","Engineering",208,39,18.8
"83","QUEEN'S UNIVERSITY","Fine And Applied Arts",20,3,15
"84","QUEEN'S UNIVERSITY","Humanities",27,8,29.6
"85","QUEEN'S UNIVERSITY","Kinesiology, Recreation And Physical Education",22,2,9.1
"86","QUEEN'S UNIVERSITY","Law",104,14,13.5
"87","QUEEN'S UNIVERSITY","Medicine",77,1,1.3
"88","QUEEN'S UNIVERSITY","Nursing",58,6,10.3
"89","QUEEN'S UNIVERSITY","Other Arts and Science",600,169,28.2
"90","QUEEN'S UNIVERSITY","Other Health Professions",10,3,30
"91","QUEEN'S UNIVERSITY","Social Sciences",46,13,28.3
"92","QUEEN'S UNIVERSITY","Theology",5,4,80
"93","QUEEN'S UNIVERSITY","Therapy And Rehabilitation",95,16,16.8
"94","ROYAL MILITARY COLLEGE OF CANADA","Unmatched",15,3,20
"95","RYERSON UNIVERSITY","Agricultural And Biological Sciences",99,47,47.5
"96","RYERSON UNIVERSITY","Architecture And Landscape Architecture",90,27,30
"97","RYERSON UNIVERSITY","Business and Commerce",1088,396,36.4
"98","RYERSON UNIVERSITY","Computer Science",78,17,21.8
"99","RYERSON UNIVERSITY","Education (Teacher Training)",91,30,33
"100","RYERSON UNIVERSITY","Engineering",631,214,33.9
"101","RYERSON UNIVERSITY","Fine And Applied Arts",296,114,38.5
"102","RYERSON UNIVERSITY","Food Science And Nutrition",44,20,45.5
"103","RYERSON UNIVERSITY","Humanities",76,29,38.2
"104","RYERSON UNIVERSITY","Journalism",73,29,39.7
"105","RYERSON UNIVERSITY","Mathematics",18,7,38.9
"106","RYERSON UNIVERSITY","Nursing",320,119,37.2
"107","RYERSON UNIVERSITY","Other Arts and Science",45,15,33.3
"109","RYERSON UNIVERSITY","Other Health Professions",118,52,44.1
"110","RYERSON UNIVERSITY","Physical Sciences",33,13,39.4
"111","RYERSON UNIVERSITY","Social Sciences",692,263,38
"112","TRENT UNIVERSITY","Agricultural And Biological Sciences",10,2,20
"113","TRENT UNIVERSITY","Business and Commerce",53,19,35.8
"114","TRENT UNIVERSITY","Education (Teacher Training)",140,50,35.7
"115","TRENT UNIVERSITY","Nursing",135,41,30.4
"116","TRENT UNIVERSITY","Other Arts and Science",739,300,40.6
"117","UNIVERSITY OF GUELPH","Agricultural And Biological Sciences",417,109,26.1
"118","UNIVERSITY OF GUELPH","Architecture And Landscape Architecture",24,5,20.8
"119","UNIVERSITY OF GUELPH","Business and Commerce",383,109,28.5
"120","UNIVERSITY OF GUELPH","Computer Science",32,5,15.6
"121","UNIVERSITY OF GUELPH","Engineering",92,11,12
"122","UNIVERSITY OF GUELPH","Fine And Applied Arts",73,35,47.9
"123","UNIVERSITY OF GUELPH","Food Science And Nutrition",323,109,33.7
"124","UNIVERSITY OF GUELPH","Humanities",222,88,39.6
"125","UNIVERSITY OF GUELPH","Kinesiology, Recreation And Physical Education",90,23,25.6
"126","UNIVERSITY OF GUELPH","Mathematics",11,4,36.4
"128","UNIVERSITY OF GUELPH","Not Reported",32,10,31.3
