"","Ref_Date","GEO","STUDYLEVEL","averageTuitionFee"
"1","2006/2007","Canada","Canadian undergraduate",5008
"2","2006/2007","Canada","Canadian graduate",5999
"3","2006/2007","Newfoundland and Labrador","Canadian undergraduate",3109
"4","2006/2007","Newfoundland and Labrador","Canadian graduate",2572
"5","2006/2007","Prince Edward Island","Canadian undergraduate",5648
"6","2006/2007","Prince Edward Island","Canadian graduate",3421
"7","2006/2007","Nova Scotia","Canadian undergraduate",7111
"8","2006/2007","Nova Scotia","Canadian graduate",8054
"9","2006/2007","New Brunswick","Canadian undergraduate",5796
"10","2006/2007","New Brunswick","Canadian graduate",5331
"11","2006/2007","Quebec","Canadian undergraduate",2506
"12","2006/2007","Quebec","Canadian graduate",2674
"13","2006/2007","Ontario","Canadian undergraduate",5835
"14","2006/2007","Ontario","Canadian graduate",9167
"15","2006/2007","Manitoba","Canadian undergraduate",3801
"16","2006/2007","Manitoba","Canadian graduate",5094
"17","2006/2007","Saskatchewan","Canadian undergraduate",5228
"18","2006/2007","Saskatchewan","Canadian graduate",3304
"19","2006/2007","Alberta","Canadian undergraduate",5338
"20","2006/2007","Alberta","Canadian graduate",6091
"21","2006/2007","British Columbia","Canadian undergraduate",5235
"22","2006/2007","British Columbia","Canadian graduate",6087
"23","2007/2008","Canada","Canadian undergraduate",5231
"24","2007/2008","Canada","Canadian graduate",6303
"25","2007/2008","Newfoundland and Labrador","Canadian undergraduate",3102
"26","2007/2008","Newfoundland and Labrador","Canadian graduate",4633
"27","2007/2008","Prince Edward Island","Canadian undergraduate",5177
"28","2007/2008","Prince Edward Island","Canadian graduate",3612
"29","2007/2008","Nova Scotia","Canadian undergraduate",6969
"30","2007/2008","Nova Scotia","Canadian graduate",8175
"31","2007/2008","New Brunswick","Canadian undergraduate",6010
"32","2007/2008","New Brunswick","Canadian graduate",5555
"33","2007/2008","Quebec","Canadian undergraduate",2675
"34","2007/2008","Quebec","Canadian graduate",3023
"35","2007/2008","Ontario","Canadian undergraduate",6119
"36","2007/2008","Ontario","Canadian graduate",9251
"37","2007/2008","Manitoba","Canadian undergraduate",3792
"38","2007/2008","Manitoba","Canadian graduate",5131
"39","2007/2008","Saskatchewan","Canadian undergraduate",5612
"40","2007/2008","Saskatchewan","Canadian graduate",4054
"41","2007/2008","Alberta","Canadian undergraduate",5763
"42","2007/2008","Alberta","Canadian graduate",7064
