"","Ref_Date","GEO","STUDYFIELD","averageTuitionFee"
"1","2006/2007","Canada","Education",4627
"2","2007/2008","Canada","Education",4353
"3","2008/2009","Canada","Education",4697
"4","2009/2010","Canada","Education",4410
"5","2010/2011","Canada","Education",4981
"6","2011/2012","Canada","Education",5089
"7","2012/2013","Canada","Education",5462
"8","2013/2014","Canada","Education",5536
"9","2014/2015","Canada","Education",5674
"10","2015/2016","Canada","Education",5697
"11","2016/2017","Canada","Education",5866
"12","2017/2018","Canada","Education",5992
"13","2006/2007","Canada","Visual and performing arts, and communications technologies",3679
"14","2007/2008","Canada","Visual and performing arts, and communications technologies",3759
"15","2008/2009","Canada","Visual and performing arts, and communications technologies",4255
"16","2009/2010","Canada","Visual and performing arts, and communications technologies",4562
"17","2010/2011","Canada","Visual and performing arts, and communications technologies",4834
"18","2011/2012","Canada","Visual and performing arts, and communications technologies",4409
"19","2012/2013","Canada","Visual and performing arts, and communications technologies",4890
"20","2013/2014","Canada","Visual and performing arts, and communications technologies",4700
"21","2014/2015","Canada","Visual and performing arts, and communications technologies",4818
"22","2015/2016","Canada","Visual and performing arts, and communications technologies",5202
"23","2016/2017","Canada","Visual and performing arts, and communications technologies",5069
"24","2017/2018","Canada","Visual and performing arts, and communications technologies",5162
"25","2006/2007","Canada","Humanities",3531
"26","2007/2008","Canada","Humanities",3460
"27","2008/2009","Canada","Humanities",3767
"28","2009/2010","Canada","Humanities",3979
"29","2010/2011","Canada","Humanities",4239
"30","2011/2012","Canada","Humanities",4336
"31","2012/2013","Canada","Humanities",4522
"32","2013/2014","Canada","Humanities",4525
"33","2014/2015","Canada","Humanities",4624
"34","2015/2016","Canada","Humanities",4619
"35","2016/2017","Canada","Humanities",4674
"36","2017/2018","Canada","Humanities",4734
"37","2006/2007","Canada","Social and behavioural sciences, and legal studies",3579
"38","2007/2008","Canada","Social and behavioural sciences, and legal studies",3709
"39","2008/2009","Canada","Social and behavioural sciences, and legal studies",3990
"40","2009/2010","Canada","Social and behavioural sciences, and legal studies",4109
"41","2010/2011","Canada","Social and behavioural sciences, and legal studies",4605
"42","2011/2012","Canada","Social and behavioural sciences, and legal studies",4556
"43","2012/2013","Canada","Social and behavioural sciences, and legal studies",5020
"44","2013/2014","Canada","Social and behavioural sciences, and legal studies",5103
"45","2014/2015","Canada","Social and behavioural sciences, and legal studies",5325
"46","2015/2016","Canada","Social and behavioural sciences, and legal studies",5460
"47","2016/2017","Canada","Social and behavioural sciences, and legal studies",5829
"48","2017/2018","Canada","Social and behavioural sciences, and legal studies",5932
"49","2006/2007","Canada","Law",3272
"50","2007/2008","Canada","Law",3813
"51","2008/2009","Canada","Law",3773
"52","2009/2010","Canada","Law",4477
"53","2010/2011","Canada","Law",4487
"54","2011/2012","Canada","Law",5302
"55","2012/2013","Canada","Law",5373
"56","2013/2014","Canada","Law",5834
"57","2014/2015","Canada","Law",5758
"58","2015/2016","Canada","Law",6148
"59","2016/2017","Canada","Law",5757
"60","2017/2018","Canada","Law",5874
"61","2006/2007","Canada","Business, management and public administration",14879
"62","2007/2008","Canada","Business, management and public administration",5225
"63","2008/2009","Canada","Business, management and public administration",5760
"64","2009/2010","Canada","Business, management and public administration",6175
"65","2010/2011","Canada","Business, management and public administration",8132
"66","2011/2012","Canada","Business, management and public administration",7932
"67","2012/2013","Canada","Business, management and public administration",8547
"68","2013/2014","Canada","Business, management and public administration",8987
"69","2014/2015","Canada","Business, management and public administration",10378
"70","2015/2016","Canada","Business, management and public administration",10703
"71","2016/2017","Canada","Business, management and public administration",11140
"72","2017/2018","Canada","Business, management and public administration",11220
"73","2007/2008","Canada","Executive MBA",22142
"74","2008/2009","Canada","Executive MBA",29893
"75","2009/2010","Canada","Executive MBA",27963
"76","2010/2011","Canada","Executive MBA",37032
"77","2011/2012","Canada","Executive MBA",36971
"78","2012/2013","Canada","Executive MBA",35448
"79","2013/2014","Canada","Executive MBA",38750
"80","2014/2015","Canada","Executive MBA",39413
"81","2015/2016","Canada","Executive MBA",47394
"82","2016/2017","Canada","Executive MBA",50830
"83","2017/2018","Canada","Executive MBA",51891
"84","2007/2008","Canada","Regular MBA",14545
"85","2008/2009","Canada","Regular MBA",19376
"86","2009/2010","Canada","Regular MBA",19727
"87","2010/2011","Canada","Regular MBA",20336
"88","2011/2012","Canada","Regular MBA",22823
"89","2012/2013","Canada","Regular MBA",23049
"90","2013/2014","Canada","Regular MBA",26201
"91","2014/2015","Canada","Regular MBA",26989
"92","2015/2016","Canada","Regular MBA",26532
"93","2016/2017","Canada","Regular MBA",28532
"94","2017/2018","Canada","Regular MBA",29293
"95","2006/2007","Canada","Physical and life sciences and technologies",4103
"96","2007/2008","Canada","Physical and life sciences and technologies",4067
"97","2008/2009","Canada","Physical and life sciences and technologies",4437
"98","2009/2010","Canada","Physical and life sciences and technologies",5239
"99","2010/2011","Canada","Physical and life sciences and technologies",5477
"100","2011/2012","Canada","Physical and life sciences and technologies",5632
"101","2012/2013","Canada","Physical and life sciences and technologies",5913
"102","2013/2014","Canada","Physical and life sciences and technologies",6024
"103","2014/2015","Canada","Physical and life sciences and technologies",6100
"104","2015/2016","Canada","Physical and life sciences and technologies",6350
"105","2016/2017","Canada","Physical and life sciences and technologies",6455
"106","2017/2018","Canada","Physical and life sciences and technologies",6586
"107","2006/2007","Canada","Mathematics, computer and information sciences",4129
"108","2007/2008","Canada","Mathematics, computer and information sciences",4042
"109","2008/2009","Canada","Mathematics, computer and information sciences",4277
"110","2009/2010","Canada","Mathematics, computer and information sciences",5488
"111","2010/2011","Canada","Mathematics, computer and information sciences",5735
"112","2011/2012","Canada","Mathematics, computer and information sciences",5716
"113","2012/2013","Canada","Mathematics, computer and information sciences",5790
"114","2013/2014","Canada","Mathematics, computer and information sciences",6001
"115","2014/2015","Canada","Mathematics, computer and information sciences",6039
"116","2015/2016","Canada","Mathematics, computer and information sciences",6123
"117","2016/2017","Canada","Mathematics, computer and information sciences",7727
"118","2017/2018","Canada","Mathematics, computer and information sciences",7906
"119","2006/2007","Canada","Engineering",4221
"120","2007/2008","Canada","Engineering",4287
"121","2008/2009","Canada","Engineering",4593
"122","2009/2010","Canada","Engineering",5312
