"","Ref_Date","GEO","STUDYFIELD","averageTuitionFee"
"1","2006/2007","Canada","Education",3373
"2","2007/2008","Canada","Education",3545
"3","2008/2009","Canada","Education",3652
"4","2009/2010","Canada","Education",3739
"5","2010/2011","Canada","Education",3850
"6","2011/2012","Canada","Education",3804
"7","2012/2013","Canada","Education",4273
"8","2013/2014","Canada","Education",4394
"9","2014/2015","Canada","Education",4482
"10","2015/2016","Canada","Education",4514
"11","2016/2017","Canada","Education",4571
"12","2017/2018","Canada","Education",4676
"13","2006/2007","Canada","Visual and performing arts, and communications technologies",3991
"14","2007/2008","Canada","Visual and performing arts, and communications technologies",4239
"15","2008/2009","Canada","Visual and performing arts, and communications technologies",4377
"16","2009/2010","Canada","Visual and performing arts, and communications technologies",4592
"17","2010/2011","Canada","Visual and performing arts, and communications technologies",4748
"18","2011/2012","Canada","Visual and performing arts, and communications technologies",4591
"19","2012/2013","Canada","Visual and performing arts, and communications technologies",5002
"20","2013/2014","Canada","Visual and performing arts, and communications technologies",5138
"21","2014/2015","Canada","Visual and performing arts, and communications technologies",5211
"22","2015/2016","Canada","Visual and performing arts, and communications technologies",5464
"23","2016/2017","Canada","Visual and performing arts, and communications technologies",5680
"24","2017/2018","Canada","Visual and performing arts, and communications technologies",5842
"25","2006/2007","Canada","Humanities",4336
"26","2007/2008","Canada","Humanities",4342
"27","2008/2009","Canada","Humanities",4364
"28","2009/2010","Canada","Humanities",4525
"29","2010/2011","Canada","Humanities",4638
"30","2011/2012","Canada","Humanities",4769
"31","2012/2013","Canada","Humanities",4941
"32","2013/2014","Canada","Humanities",5023
"33","2014/2015","Canada","Humanities",5230
"34","2015/2016","Canada","Humanities",5346
"35","2016/2017","Canada","Humanities",5460
"36","2017/2018","Canada","Humanities",5595
"37","2006/2007","Canada","Social and behavioural sciences, and legal studies",4041
"38","2007/2008","Canada","Social and behavioural sciences, and legal studies",4165
"39","2008/2009","Canada","Social and behavioural sciences, and legal studies",4251
"40","2009/2010","Canada","Social and behavioural sciences, and legal studies",4431
"41","2010/2011","Canada","Social and behavioural sciences, and legal studies",4586
"42","2011/2012","Canada","Social and behavioural sciences, and legal studies",4656
"43","2012/2013","Canada","Social and behavioural sciences, and legal studies",4966
"44","2013/2014","Canada","Social and behavioural sciences, and legal studies",5116
"45","2014/2015","Canada","Social and behavioural sciences, and legal studies",5294
"46","2015/2016","Canada","Social and behavioural sciences, and legal studies",5424
"47","2016/2017","Canada","Social and behavioural sciences, and legal studies",5573
"48","2017/2018","Canada","Social and behavioural sciences, and legal studies",5721
"49","2006/2007","Canada","Law",7155
"50","2007/2008","Canada","Law",7382
"51","2008/2009","Canada","Law",8030
"52","2009/2010","Canada","Law",8229
"53","2010/2011","Canada","Law",8657
"54","2011/2012","Canada","Law",9335
"55","2012/2013","Canada","Law",9549
"56","2013/2014","Canada","Law",10039
"57","2014/2015","Canada","Law",10563
"58","2015/2016","Canada","Law",10928
"59","2016/2017","Canada","Law",13115
"60","2017/2018","Canada","Law",13642
"61","2006/2007","Canada","Business, management and public administration",4195
"62","2007/2008","Canada","Business, management and public administration",4637
"63","2008/2009","Canada","Business, management and public administration",4978
"64","2009/2010","Canada","Business, management and public administration",5191
"65","2010/2011","Canada","Business, management and public administration",5386
"66","2011/2012","Canada","Business, management and public administration",5673
"67","2012/2013","Canada","Business, management and public administration",6097
"68","2013/2014","Canada","Business, management and public administration",6274
"69","2014/2015","Canada","Business, management and public administration",6366
