"","Ref_Date","GEO","SCHOOL","TotalRevAmt","TotalExpAmt","TuitionRevAmt","SalaryExpAmt"
"1","2000/2001","Alberta","Total universities and colleges",1716783,1633997,298464,898780
"2","2000/2001","British Columbia","Total universities and colleges",2020474,1942250,321017,1212469
"3","2000/2001","Canada","Total universities and colleges",16224715,15332960,3052960,8879147
"4","2000/2001","Manitoba","Total universities and colleges",629163,541197,99932,324060
"5","2000/2001","New Brunswick","Total universities and colleges",356899,331242,79153,201154
"6","2000/2001","Newfoundland and Labrador","Total universities and colleges",268822,262484,49954,164070
"7","2000/2001","Nova Scotia","Total universities and colleges",685133,658170,173980,373729
"8","2000/2001","Ontario","Total universities and colleges",6192454,5822505,1509442,3263962
"9","2000/2001","Prince Edward Island","Total universities and colleges",63238,59138,13778,36697
"10","2000/2001","Quebec","Total universities and colleges",3613399,3484910,407458,2045622
"11","2000/2001","Saskatchewan","Total universities and colleges",678350,597067,99782,358604
"12","2001/2002","Alberta","Total universities and colleges",1796167,1735960,317729,957935
"13","2001/2002","British Columbia","Total universities and colleges",2236677,2178044,336687,1320927
"14","2001/2002","Canada","Total universities and colleges",17231250,17028290,3319524,9521822
"15","2001/2002","Manitoba","Total universities and colleges",606933,596347,108161,348166
"16","2001/2002","New Brunswick","Total universities and colleges",354575,343601,89906,215941
"17","2001/2002","Newfoundland and Labrador","Total universities and colleges",281413,281068,47638,182647
"18","2001/2002","Nova Scotia","Total universities and colleges",691602,709810,192162,393504
"19","2001/2002","Ontario","Total universities and colleges",6523569,6549111,1668094,3497344
"20","2001/2002","Prince Edward Island","Total universities and colleges",71115,65638,14629,40615
"21","2001/2002","Quebec","Total universities and colleges",3959953,3882127,429864,2188735
"22","2001/2002","Saskatchewan","Total universities and colleges",709246,686584,114654,376008
"23","2002/2003","Alberta","Total universities and colleges",1700493,1869127,352545,1064842
"24","2002/2003","British Columbia","Total universities and colleges",2604516,2474152,440927,1464931
"25","2002/2003","Canada","Total universities and colleges",18488133,19087239,3777453,10491362
"26","2002/2003","Manitoba","Total universities and colleges",670887,654436,118055,371171
"27","2002/2003","New Brunswick","Total universities and colleges",396521,386447,106549,231916
"28","2002/2003","Newfoundland and Labrador","Total universities and colleges",292749,295056,50361,200242
"29","2002/2003","Nova Scotia","Total universities and colleges",722687,793473,220774,425078
"30","2002/2003","Ontario","Total universities and colleges",6842737,7240320,1893230,3840043
"31","2002/2003","Prince Edward Island","Total universities and colleges",91438,74435,16230,45201
"32","2002/2003","Quebec","Total universities and colleges",4429924,4520418,454438,2441735
"33","2002/2003","Saskatchewan","Total universities and colleges",736181,779375,124344,406203
"34","2003/2004","Alberta","Total universities and colleges",2292392,2054289,388896,1145062
"35","2003/2004","British Columbia","Total universities and colleges",2846546,2858803,579043,1587104
"36","2003/2004","Canada","Total universities and colleges",21647925,21197633,4358013,11421499
"37","2003/2004","Manitoba","Total universities and colleges",694624,694327,126426,396619
"38","2003/2004","New Brunswick","Total universities and colleges",408997,418433,117035,251833
"39","2003/2004","Newfoundland and Labrador","Total universities and colleges",330543,335972,52203,216283
"40","2003/2004","Nova Scotia","Total universities and colleges",822987,819828,254973,458634
"41","2003/2004","Ontario","Total universities and colleges",8458755,8204272,2170429,4253489
"42","2003/2004","Prince Edward Island","Total universities and colleges",83268,82415,18558,49229
"43","2003/2004","Quebec","Total universities and colleges",4923527,4932011,514601,2631385
"44","2003/2004","Saskatchewan","Total universities and colleges",786286,797283,135849,431861
"45","2004/2005","Alberta","Total universities and colleges",2306148,2235001,407012,1216692
"46","2004/2005","British Columbia","Total universities and colleges",2988849,3086508,689395,1682361
"47","2004/2005","Canada","Total universities and colleges",22687437,22575643,4706894,12359332
"48","2004/2005","Manitoba","Total universities and colleges",753134,740053,135359,422889
"49","2004/2005","New Brunswick","Total universities and colleges",456949,444047,122164,264456
"50","2004/2005","Newfoundland and Labrador","Total universities and colleges",360281,351338,54375,224027
"51","2004/2005","Nova Scotia","Total universities and colleges",859815,870013,275682,487350
"52","2004/2005","Ontario","Total universities and colleges",9161733,8777076,2321516,4765217
"53","2004/2005","Prince Edward Island","Total universities and colleges",96085,96671,20704,51996
"54","2004/2005","Quebec","Total universities and colleges",4857995,5192964,539421,2781366
"55","2004/2005","Saskatchewan","Total universities and colleges",846448,781972,141266,462978
"56","2005/2006","Alberta","Total universities and colleges",2580536,2428620,435790,1312087
"57","2005/2006","British Columbia","Total universities and colleges",3483287,3434940,719276,1810577
"58","2005/2006","Canada","Total universities and colleges",24705347,23881519,4943699,13116816
"59","2005/2006","Manitoba","Total universities and colleges",788855,805240,145560,443437
"60","2005/2006","New Brunswick","Total universities and colleges",483746,463911,129997,280059
"61","2005/2006","Newfoundland and Labrador","Total universities and colleges",404088,388807,56913,232144
"62","2005/2006","Nova Scotia","Total universities and colleges",922868,898611,285719,516102
"63","2005/2006","Ontario","Total universities and colleges",9998731,9353877,2448874,5100130
"64","2005/2006","Prince Edward Island","Total universities and colleges",98192,109553,21407,55405
"65","2005/2006","Quebec","Total universities and colleges",5044274,5200883,557995,2892191
"66","2005/2006","Saskatchewan","Total universities and colleges",900770,797077,142168,474684
"67","2006/2007","Alberta","Total universities and colleges",3019746,2579983,441010,1407176
"68","2006/2007","British Columbia","Total universities and colleges",3420933,3492130,750003,1866714
"69","2006/2007","Canada","Total universities and colleges",26458623,24864766,5216088,13935214
"70","2006/2007","Manitoba","Total universities and colleges",822195,790835,153180,462939
"71","2006/2007","New Brunswick","Total universities and colleges",547817,483406,132059,290460
"72","2006/2007","Newfoundland and Labrador","Total universities and colleges",421769,400503,56154,242647
"73","2006/2007","Nova Scotia","Total universities and colleges",985928,938458,291925,536279
"74","2006/2007","Ontario","Total universities and colleges",10816196,9763728,2631053,5562237
"75","2006/2007","Prince Edward Island","Total universities and colleges",105266,115862,22773,60498
"76","2006/2007","Quebec","Total universities and colleges",5375628,5415071,594001,3008157
"77","2006/2007","Saskatchewan","Total universities and colleges",943145,884790,143930,498107
"78","2007/2008","Alberta","Total universities and colleges",3296642,2920682,456296,1566792
"79","2007/2008","British Columbia","Total universities and colleges",3648272,3584010,775867,1985150
"80","2007/2008","Canada","Total universities and colleges",27201804,26681897,5454375,14903302
"81","2007/2008","Manitoba","Total universities and colleges",852852,877463,150936,479813
"82","2007/2008","New Brunswick","Total universities and colleges",506285,505417,134073,299859
"83","2007/2008","Newfoundland and Labrador","Total universities and colleges",435342,438963,55993,267692
"84","2007/2008","Nova Scotia","Total universities and colleges",951619,973411,280575,551415
"85","2007/2008","Ontario","Total universities and colleges",10963790,10632239,2790416,6019309
"86","2007/2008","Prince Edward Island","Total universities and colleges",109301,119399,21233,63339
"87","2007/2008","Quebec","Total universities and colleges",5501235,5723795,646640,3156061
"88","2007/2008","Saskatchewan","Total universities and colleges",936466,906518,142346,513872
"89","2008/2009","Alberta","Total universities and colleges",3350050,3302780,496423,1705071
"90","2008/2009","British Columbia","Total universities and colleges",3423119,3780263,864459,2230976
"91","2008/2009","Canada","Total universities and colleges",26405228,28343601,5853354,15858010
"92","2008/2009","Manitoba","Total universities and colleges",839207,904432,150944,509004
"93","2008/2009","New Brunswick","Total universities and colleges",475131,520234,137484,315488
"94","2008/2009","Newfoundland and Labrador","Total universities and colleges",478212,483966,56867,292200
"95","2008/2009","Nova Scotia","Total universities and colleges",916492,1036642,283329,577322
