"","Ref_Date","GEO","SCHOOL","REVENUE","FUND","revenueAmount"
"1617","2000/2001","Canada","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",3052960
"1618","2001/2002","Canada","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",3319524
"1619","2002/2003","Canada","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",3777453
"1620","2003/2004","Canada","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",4358013
"1621","2004/2005","Canada","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",4706894
"1622","2005/2006","Canada","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",4943699
"1623","2006/2007","Canada","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",5216088
"1624","2007/2008","Canada","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",5454375
"1625","2008/2009","Canada","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",5853354
"1626","2009/2010","Canada","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",6482539
"1627","2010/2011","Canada","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",7001393
"1628","2011/2012","Canada","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",7545114
"1629","2012/2013","Canada","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",8108641
"1630","2013/2014","Canada","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",8663862
"1631","2014/2015","Canada","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",9158307
"1632","2015/2016","Canada","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",9694840
"12753","2000/2001","Newfoundland and Labrador","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",49954
"12754","2001/2002","Newfoundland and Labrador","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",47638
"12755","2002/2003","Newfoundland and Labrador","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",50361
"12756","2003/2004","Newfoundland and Labrador","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",52203
"12757","2004/2005","Newfoundland and Labrador","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",54375
"12758","2005/2006","Newfoundland and Labrador","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",56913
"12759","2006/2007","Newfoundland and Labrador","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",56154
"12760","2007/2008","Newfoundland and Labrador","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",55993
"12761","2008/2009","Newfoundland and Labrador","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",56867
"12762","2009/2010","Newfoundland and Labrador","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",59292
"12763","2010/2011","Newfoundland and Labrador","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",61537
"12764","2011/2012","Newfoundland and Labrador","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",61823
"12765","2012/2013","Newfoundland and Labrador","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",64544
"12766","2013/2014","Newfoundland and Labrador","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",64444
"12767","2014/2015","Newfoundland and Labrador","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",65786
"12768","2015/2016","Newfoundland and Labrador","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",63892
"23889","2000/2001","Prince Edward Island","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",13778
"23890","2001/2002","Prince Edward Island","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",14629
"23891","2002/2003","Prince Edward Island","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",16230
"23892","2003/2004","Prince Edward Island","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",18558
"23893","2004/2005","Prince Edward Island","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",20704
"23894","2005/2006","Prince Edward Island","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",21407
"23895","2006/2007","Prince Edward Island","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",22773
"23896","2007/2008","Prince Edward Island","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",21233
"23897","2008/2009","Prince Edward Island","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",23077
"23898","2009/2010","Prince Edward Island","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",25862
"23899","2010/2011","Prince Edward Island","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",27878
"23900","2011/2012","Prince Edward Island","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",28382
"23901","2012/2013","Prince Edward Island","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",29819
"23902","2013/2014","Prince Edward Island","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",30945
"23903","2014/2015","Prince Edward Island","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",32615
"23904","2015/2016","Prince Edward Island","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",34221
"34897","2000/2001","Nova Scotia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",173980
"34898","2001/2002","Nova Scotia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",192162
"34899","2002/2003","Nova Scotia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",220774
"34900","2003/2004","Nova Scotia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",254973
"34901","2004/2005","Nova Scotia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",275682
"34902","2005/2006","Nova Scotia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",285719
"34903","2006/2007","Nova Scotia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",291925
"34904","2007/2008","Nova Scotia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",280575
