"","Ref_Date","GEO","SCHOOL","EXPENDITURE","FUNDFUNCTION","expenditureAmount"
"1","2000/2001","Canada","Total universities and colleges","Total expenditures","Total funds (x 1,000)",15332960
"2","2001/2002","Canada","Total universities and colleges","Total expenditures","Total funds (x 1,000)",17028290
"3","2002/2003","Canada","Total universities and colleges","Total expenditures","Total funds (x 1,000)",19087239
"4","2003/2004","Canada","Total universities and colleges","Total expenditures","Total funds (x 1,000)",21197633
"5","2004/2005","Canada","Total universities and colleges","Total expenditures","Total funds (x 1,000)",22575643
"6","2005/2006","Canada","Total universities and colleges","Total expenditures","Total funds (x 1,000)",23881519
"7","2006/2007","Canada","Total universities and colleges","Total expenditures","Total funds (x 1,000)",24864766
"8","2007/2008","Canada","Total universities and colleges","Total expenditures","Total funds (x 1,000)",26681897
"9","2008/2009","Canada","Total universities and colleges","Total expenditures","Total funds (x 1,000)",28343601
"10","2009/2010","Canada","Total universities and colleges","Total expenditures","Total funds (x 1,000)",29868779
"11","2010/2011","Canada","Total universities and colleges","Total expenditures","Total funds (x 1,000)",31330951
"12","2011/2012","Canada","Total universities and colleges","Total expenditures","Total funds (x 1,000)",32091676
"13","2012/2013","Canada","Total universities and colleges","Total expenditures","Total funds (x 1,000)",32414094
"14","2013/2014","Canada","Total universities and colleges","Total expenditures","Total funds (x 1,000)",33270373
"15","2014/2015","Canada","Total universities and colleges","Total expenditures","Total funds (x 1,000)",33830546
"16","2015/2016","Canada","Total universities and colleges","Total expenditures","Total funds (x 1,000)",34629425
"15505","2000/2001","Newfoundland and Labrador","Total universities and colleges","Total expenditures","Total funds (x 1,000)",262484
"15506","2001/2002","Newfoundland and Labrador","Total universities and colleges","Total expenditures","Total funds (x 1,000)",281068
"15507","2002/2003","Newfoundland and Labrador","Total universities and colleges","Total expenditures","Total funds (x 1,000)",295056
"15508","2003/2004","Newfoundland and Labrador","Total universities and colleges","Total expenditures","Total funds (x 1,000)",335972
"15509","2004/2005","Newfoundland and Labrador","Total universities and colleges","Total expenditures","Total funds (x 1,000)",351338
"15510","2005/2006","Newfoundland and Labrador","Total universities and colleges","Total expenditures","Total funds (x 1,000)",388807
"15511","2006/2007","Newfoundland and Labrador","Total universities and colleges","Total expenditures","Total funds (x 1,000)",400503
"15512","2007/2008","Newfoundland and Labrador","Total universities and colleges","Total expenditures","Total funds (x 1,000)",438963
