2015 OSAP Repayment Assistance Participation Rates by Program,,,,,
Ontario Colleges of Applied Arts and Technology,,,,,
INSTITUTION NAME,PROGRAM NAME,# of Borrowers 2012-13 (1),# of 12-13 Borrowers who received Repayment Assistance (2),2015 Repayment Assistance Participation Rate (3),
ALGONQUIN COLLEGE,Advanced Care Paramedic,7,1,14.3%,
ALGONQUIN COLLEGE,Advertising,33,19,57.6%,
ALGONQUIN COLLEGE,Animal Care,15,4,26.7%,
ALGONQUIN COLLEGE,Animation - Television,27,9,33.3%,
ALGONQUIN COLLEGE,Architectural Technician,61,14,23.0%,
ALGONQUIN COLLEGE,Autism And Behavioural Science,16,8,50.0%,
ALGONQUIN COLLEGE,Aviation Techniques - Aircraft Maintenance,*,*,*,
ALGONQUIN COLLEGE,Bachelor Of Applied Arts (interior Design),20,8,40.0%,
ALGONQUIN COLLEGE,Bachelor Of Applied Business (e-business Supply Chain Management),16,3,18.8%,
ALGONQUIN COLLEGE,Bachelor of Hospitality and Tourism Management,6,2,33.3%,
ALGONQUIN COLLEGE,Baking - Pre-employment,48,14,29.2%,
ALGONQUIN COLLEGE,Bartending,15,4,26.7%,
ALGONQUIN COLLEGE,Biotechnology Technologist,25,8,32.0%,
ALGONQUIN COLLEGE,Broadcasting - Radio,21,3,14.3%,
ALGONQUIN COLLEGE,Broadcasting - Television,22,9,40.9%,
ALGONQUIN COLLEGE,Building Construction Technician,26,2,7.7%,
ALGONQUIN COLLEGE,Business,8,5,62.5%,
ALGONQUIN COLLEGE,Business - Accounting,105,41,39.0%,
ALGONQUIN COLLEGE,Business - Marketing,60,18,30.0%,
ALGONQUIN COLLEGE,Business Administration - Accounting,148,53,35.8%,
ALGONQUIN COLLEGE,Business Administration - Finance,7,2,28.6%,
ALGONQUIN COLLEGE,Business Administration - Marketing,9,4,44.4%,
ALGONQUIN COLLEGE,Business Administration - Materials And Operations Management,13,6,46.2%,
ALGONQUIN COLLEGE,Business Intelligence Systems Infrastructure,*,*,*,
ALGONQUIN COLLEGE,Carpentry - Renovation,22,4,18.2%,
ALGONQUIN COLLEGE,Child And Youth Worker,51,19,37.3%,
ALGONQUIN COLLEGE,Civil Engineering Technology,16,4,25.0%,
ALGONQUIN COLLEGE,Clinically Intensive Orientation To Nursing In Ontario,*,*,*,
ALGONQUIN COLLEGE,Community And Justice Services,31,11,35.5%,
ALGONQUIN COLLEGE,Computer Engineering Technology,33,5,15.2%,
ALGONQUIN COLLEGE,Computer Systems Technician,56,17,30.4%,
ALGONQUIN COLLEGE,Computer Systems Technology,5,2,40.0%,
ALGONQUIN COLLEGE,Construction Engineering Technician,66,15,22.7%,
ALGONQUIN COLLEGE,Construction Management,*,*,*,
ALGONQUIN COLLEGE,Court And Tribunal Agent,36,16,44.4%,
ALGONQUIN COLLEGE,Court Reporting - Steno mask,10,4,40.0%,
ALGONQUIN COLLEGE,Culinary Management,45,16,35.6%,
ALGONQUIN COLLEGE,Culinary Skills - Chef Training,31,9,29.0%,
ALGONQUIN COLLEGE,Dental Assistant,26,3,11.5%,
ALGONQUIN COLLEGE,Dental Hygiene,*,*,*,
ALGONQUIN COLLEGE,Developmental Services Worker,45,19,42.2%,
ALGONQUIN COLLEGE,Dramatic Scriptwriting,6,3,50.0%,
ALGONQUIN COLLEGE,Early Childhood Education,153,47,30.7%,
ALGONQUIN COLLEGE,Electrical Engineering Technician,65,12,18.5%,
ALGONQUIN COLLEGE,Electro-mechanical Engineering Technician,29,11,37.9%,
ALGONQUIN COLLEGE,Environmental Technician,*,*,*,
ALGONQUIN COLLEGE,Esthetician,28,13,46.4%,
ALGONQUIN COLLEGE,Event Management,39,20,51.3%,
ALGONQUIN COLLEGE,Fitness And Health Promotion,45,8,17.8%,
ALGONQUIN COLLEGE,Food Service Supervisor,*,*,*,
ALGONQUIN COLLEGE,Forensic Accounting,*,*,*,
ALGONQUIN COLLEGE,Forestry Technician,11,3,27.3%,
ALGONQUIN COLLEGE,Furniture Technician,27,6,22.2%,
ALGONQUIN COLLEGE,Game Design And Development,6,3,50.0%,
ALGONQUIN COLLEGE,Game Development,44,14,31.8%,
ALGONQUIN COLLEGE,General Arts And Science,277,77,27.8%,
ALGONQUIN COLLEGE,General Arts And Science - One-year,8,5,62.5%,
ALGONQUIN COLLEGE,Geographic Information Systems Technology,16,6,37.5%,
ALGONQUIN COLLEGE,Graphic Design Production,30,11,36.7%,
ALGONQUIN COLLEGE,Green Architecture,6,2,33.3%,
ALGONQUIN COLLEGE,Hair Stylist,33,12,36.4%,
ALGONQUIN COLLEGE,"Heating, Refrigeration And Air Conditioning Technician",87,17,19.5%,
ALGONQUIN COLLEGE,Horticultural Industries,12,2,16.7%,
ALGONQUIN COLLEGE,Horticulture Technician,15,4,26.7%,
ALGONQUIN COLLEGE,Hospitality Management,47,20,42.6%,
ALGONQUIN COLLEGE,Human Resources Management,16,9,56.3%,
ALGONQUIN COLLEGE,Interior Design,14,6,42.9%,
ALGONQUIN COLLEGE,International Business Management,*,*,*,
ALGONQUIN COLLEGE,Internet Website Development,9,2,22.2%,
ALGONQUIN COLLEGE,Journalism - Print,23,6,26.1%,
ALGONQUIN COLLEGE,Kitchen and Bath Design,5,1,20.0%,
ALGONQUIN COLLEGE,Law Clerk,79,39,49.4%,
ALGONQUIN COLLEGE,Library And Information Technician,20,3,15.0%,
ALGONQUIN COLLEGE,Marketing Management,*,*,*,
ALGONQUIN COLLEGE,Masonry - Heritage And Traditional,10,1,10.0%,
ALGONQUIN COLLEGE,Massage Therapy,29,9,31.0%,
ALGONQUIN COLLEGE,Mechanical Engineering Technology,21,6,28.6%,
ALGONQUIN COLLEGE,Mechanical Technician,6,1,16.7%,
ALGONQUIN COLLEGE,Media Arts,24,9,37.5%,
ALGONQUIN COLLEGE,Media Arts - Interactive Multimedia,13,6,46.2%,
ALGONQUIN COLLEGE,Medical Imaging Technology - Radiography,18,1,5.6%,
ALGONQUIN COLLEGE,Motive Power Technician,26,7,26.9%,
ALGONQUIN COLLEGE,Museum Technology,17,7,41.2%,
ALGONQUIN COLLEGE,Music Industry Arts,32,16,50.0%,
ALGONQUIN COLLEGE,Office Administration - Executive,7,1,14.3%,
ALGONQUIN COLLEGE,Office Administration - General,87,38,43.7%,
ALGONQUIN COLLEGE,Office Administration - Legal,13,4,30.8%,
ALGONQUIN COLLEGE,Office Administration - Medical,7,5,71.4%,
ALGONQUIN COLLEGE,Organizational Quality Management,*,*,*,
ALGONQUIN COLLEGE,Orientation To Nursing In Ontario For Nurses,5,2,40.0%,
ALGONQUIN COLLEGE,Orientation To Nursing In Ontario For Practical Nurses,*,*,*,
ALGONQUIN COLLEGE,Paramedic,26,5,19.2%,
ALGONQUIN COLLEGE,Performance Coaching,*,*,*,
ALGONQUIN COLLEGE,Personal Financial Services,5,2,40.0%,
ALGONQUIN COLLEGE,Personal Support Worker,69,17,24.6%,
ALGONQUIN COLLEGE,Photography,29,10,34.5%,
ALGONQUIN COLLEGE,Police Foundations,166,40,24.1%,
ALGONQUIN COLLEGE,Power line Technician,14,1,7.1%,
ALGONQUIN COLLEGE,Practical Nursing,129,41,31.8%,
ALGONQUIN COLLEGE,Pre-service Firefighter Education And Training,20,2,10.0%,
ALGONQUIN COLLEGE,Professional Writing,17,6,35.3%,
ALGONQUIN COLLEGE,Public Relations,20,7,35.0%,
ALGONQUIN COLLEGE,Radiation Safety,13,3,23.1%,
ALGONQUIN COLLEGE,Recreation And Leisure Services,20,3,15.0%,
ALGONQUIN COLLEGE,Recreational Tourism Management,36,9,25.0%,
ALGONQUIN COLLEGE,Research Analyst,6,2,33.3%,
ALGONQUIN COLLEGE,Respiratory Therapy,21,10,47.6%,
ALGONQUIN COLLEGE,Small Business Management,42,16,38.1%,
ALGONQUIN COLLEGE,Social Service Worker,56,27,48.2%,
ALGONQUIN COLLEGE,Sports Management,9,3,33.3%,
ALGONQUIN COLLEGE,Teachers Of English As A Second/foreign Language,*,*,*,
ALGONQUIN COLLEGE,Technical Writer,17,6,35.3%,
ALGONQUIN COLLEGE,Theatre Arts - Production,9,5,55.6%,
ALGONQUIN COLLEGE,Tourism And Travel,51,24,47.1%,
ALGONQUIN COLLEGE,Veterinary Technician,28,9,32.1%,
ALGONQUIN COLLEGE,Victimology,12,9,75.0%,
ALGONQUIN COLLEGE,Water And Waste Water Technician,20,7,35.0%,
ALGONQUIN COLLEGE,Welding Techniques,16,3,18.8%,
ALGONQUIN COLLEGE,Wireless/Mobility Telecommunications Engineering Technician,7,4,57.1%,
ALGONQUIN COLLEGE Total,,"3,540","1,140",32.2%,
,,,,,
Notes:, ,,,,
1) Number of borrowers who received Canada-Ontario Integrated Student Loan in 2012-13 and did not receive loans or grants ,,,,,
through the Ontario Student Assistance Program in 2013-14. ,,,,,
2) Number of borrowers as per note 1) who were approved for one or more six month terms of repayment assistance for their ,,,,,
 Canada-Ontario Integrated Student Loan between March 2013 and July 2015. ,,,,,
3) The percentage of borrowers who received repayment assistance for one or more terms; column 2 divided by column 1.,,,,,
* Number of borrowers is less than 5; data suppressed but included in the totals for the institutions. ,,,,,
,,,,,
,,,,,
 ,,,,,
CAMBRIAN COLLEGE,Animation,10,5,50.0%,
CAMBRIAN COLLEGE,Art Fundamentals,5,4,80.0%,
CAMBRIAN COLLEGE,Business,8,4,50.0%,
CAMBRIAN COLLEGE,Business - Accounting,9,3,33.3%,
CAMBRIAN COLLEGE,Business Administration,17,3,17.6%,
CAMBRIAN COLLEGE,Business Administration - Accounting,11,3,27.3%,
CAMBRIAN COLLEGE,Business Fundamentals,12,5,41.7%,
CAMBRIAN COLLEGE,Chemical Engineering Technology,5,2,40.0%,
CAMBRIAN COLLEGE,Child And Youth Worker,29,11,37.9%,
CAMBRIAN COLLEGE,Civil Engineering Technician,19,4,21.1%,
CAMBRIAN COLLEGE,Civil Engineering Technology,8,1,12.5%,
CAMBRIAN COLLEGE,Collaborative Nursing,42,17,40.5%,
CAMBRIAN COLLEGE,Community And Justice Services,14,5,35.7%,
CAMBRIAN COLLEGE,Computer Programmer Analyst,5,1,20.0%,
CAMBRIAN COLLEGE,Computer Systems Technology,14,3,21.4%,
CAMBRIAN COLLEGE,Dental Assisting (levels I And Ii),*,*,*,
CAMBRIAN COLLEGE,Dental Hygiene,*,*,*,
CAMBRIAN COLLEGE,Developmental Services Worker,15,6,40.0%,
CAMBRIAN COLLEGE,Early Childhood Education,21,4,19.0%,
CAMBRIAN COLLEGE,Electrical Engineering Technician,11,2,18.2%,
CAMBRIAN COLLEGE,Electrical Engineering Technology,7,1,14.3%,
CAMBRIAN COLLEGE,Electrical Techniques,23,1,4.3%,
CAMBRIAN COLLEGE,Energy Systems Engineering Technology,6,0,0.0%,
CAMBRIAN COLLEGE,Environmental Control,15,4,26.7%,
CAMBRIAN COLLEGE,Fine Arts And Crafts - Advanced,19,11,57.9%,
CAMBRIAN COLLEGE,Fitness Management,10,6,60.0%,
CAMBRIAN COLLEGE,General Arts And Science,*,*,*,
CAMBRIAN COLLEGE,General Arts And Science - One-year,14,7,50.0%,
CAMBRIAN COLLEGE,"Heating, Air Conditioning And Refrigeration Techniques",8,1,12.5%,
CAMBRIAN COLLEGE,"Heating, Refrigeration And Air Conditioning Technician",13,4,30.8%,
CAMBRIAN COLLEGE,Heavy Equipment Technician,13,1,7.7%,
CAMBRIAN COLLEGE,Hospitality Management,*,*,*,
CAMBRIAN COLLEGE,Human Resources Management,15,9,60.0%,
CAMBRIAN COLLEGE,Instrumentation Engineering Technician,*,*,*,
CAMBRIAN COLLEGE,Instrumentation Engineering Technology,7,4,57.1%,
CAMBRIAN COLLEGE,Journalism - Print And Broadcasting,5,1,20.0%,
CAMBRIAN COLLEGE,Law And Security - Basic,*,*,*,
CAMBRIAN COLLEGE,Law And Security Administration,*,*,*,
CAMBRIAN COLLEGE,Library And Information Technician,5,2,40.0%,
CAMBRIAN COLLEGE,Magnetic Resonance Imaging,7,3,42.9%,
CAMBRIAN COLLEGE,Mechanical Engineering Technician,14,2,14.3%,
CAMBRIAN COLLEGE,Mechanical Techniques,16,2,12.5%,
CAMBRIAN COLLEGE,Medical Imaging Technology - Radiography,22,3,13.6%,
CAMBRIAN COLLEGE,Medical Imaging Technology - Ultrasonography,21,3,14.3%,
CAMBRIAN COLLEGE,Medical Laboratory Technology,24,7,29.2%,
CAMBRIAN COLLEGE,Mining Engineering Technician,10,0,0.0%,
CAMBRIAN COLLEGE,Mining Engineering Technology,*,*,*,
CAMBRIAN COLLEGE,Motive Power Technician,14,3,21.4%,
CAMBRIAN COLLEGE,Motive Power Techniques - Heavy Equipment,17,2,11.8%,
CAMBRIAN COLLEGE,Music,11,5,45.5%,
CAMBRIAN COLLEGE,Paramedic,26,6,23.1%,
CAMBRIAN COLLEGE,Personal Support Worker,15,3,20.0%,
CAMBRIAN COLLEGE,Police Foundations,23,7,30.4%,
CAMBRIAN COLLEGE,Powerline Technician,16,1,6.3%,
CAMBRIAN COLLEGE,Practical Nursing,31,5,16.1%,
CAMBRIAN COLLEGE,Pre-service Firefighter Education And Training,6,1,16.7%,
CAMBRIAN COLLEGE,Pre-technology,*,*,*,
CAMBRIAN COLLEGE,Preparatory Health Sciences,37,9,24.3%,
CAMBRIAN COLLEGE,Public Relations,24,12,50.0%,
CAMBRIAN COLLEGE,Renovation Techniques,13,2,15.4%,
CAMBRIAN COLLEGE,Social Service Worker,38,12,31.6%,
CAMBRIAN COLLEGE,Stationary Engineering,20,1,5.0%,
CAMBRIAN COLLEGE,Stationary Engineering Technology,*,*,*,
CAMBRIAN COLLEGE,Theatre Arts - Production,7,2,28.6%,
CAMBRIAN COLLEGE,Welding Engineering Technician,13,2,15.4%,
CAMBRIAN COLLEGE Total,,867,234,27.0%,
,,,,,
CANADORE COLLEGE,Advertising,*,*,*,
CANADORE COLLEGE,Aircraft Structural Repair Technician,7,2,28.6%,
CANADORE COLLEGE,Aviation Pilot - Fixed Wing - Aboriginal,*,*,*,
CANADORE COLLEGE,Aviation Technician - Aircraft Maintenance,37,7,18.9%,
CANADORE COLLEGE,Aviation Technician - Avionics Maintenance,6,1,16.7%,
CANADORE COLLEGE,Broadcasting - Radio,7,3,42.9%,
CANADORE COLLEGE,Broadcasting - Television,5,2,40.0%,
CANADORE COLLEGE,Building Construction Technician,19,5,26.3%,
CANADORE COLLEGE,Business,16,6,37.5%,
CANADORE COLLEGE,Business - Accounting,*,*,*,
CANADORE COLLEGE,Business Administration,5,3,60.0%,
CANADORE COLLEGE,Business Administration - Accounting,5,1,20.0%,
CANADORE COLLEGE,Business Administration - Marketing,*,*,*,
CANADORE COLLEGE,Chemical Engineering Technician,*,*,*,
CANADORE COLLEGE,Civil Engineering Technician,8,0,0.0%,
CANADORE COLLEGE,Community And Justice Services,15,5,33.3%,
CANADORE COLLEGE,Computer Programmer Analyst,5,0,0.0%,
CANADORE COLLEGE,Computer Systems Technology,7,5,71.4%,
CANADORE COLLEGE,Culinary Administration,5,0,0.0%,
CANADORE COLLEGE,Culinary Management,13,1,7.7%,
CANADORE COLLEGE,Culinary Skills - Chef Training,13,5,38.5%,
CANADORE COLLEGE,Dental Hygiene,6,1,16.7%,
CANADORE COLLEGE,Early Childhood Education,31,13,41.9%,
CANADORE COLLEGE,Electrical Techniques,22,5,22.7%,
CANADORE COLLEGE,Environmental Management,8,3,37.5%,
CANADORE COLLEGE,Environmental Technician,14,6,42.9%,
CANADORE COLLEGE,Film And Television Production,*,*,*,
CANADORE COLLEGE,Game Design And Development,11,7,63.6%,
CANADORE COLLEGE,General Arts And Science,12,4,33.3%,
CANADORE COLLEGE,General Arts And Science - One-year,*,*,*,
CANADORE COLLEGE,Graphic Design,17,4,23.5%,
CANADORE COLLEGE,Hospitality Administration,*,*,*,
CANADORE COLLEGE,Hospitality Management,*,*,*,
CANADORE COLLEGE,Journalism - Print And Broadcast,8,5,62.5%,
CANADORE COLLEGE,Mechanical Technician,28,10,35.7%,
CANADORE COLLEGE,Mechanical Techniques,11,2,18.2%,
