2015 OSAP Repayment Assistance Participation Rates ,,,,
Ontario Colleges of Applied Arts and Technology,,,,
Institution Name,# of Borrowers 2012-13 (1),# of 12-13 Borrowers who received Repayment Assistance (2),2015 Repayment Assistance Participation Rate (3),
,,,,
ALGONQUIN COLLEGE,"3,540","1,140",32.2%,
CAMBRIAN COLLEGE,867,234,27.0%,
CANADORE COLLEGE,675,230,34.1%,
CENTENNIAL COLLEGE,"2,963","1,346",45.4%,
COLLEGE BOREAL,405,140,34.6%,
CONESTOGA COLLEGE,"2,145",609,28.4%,
CONFEDERATION COLLEGE,567,145,25.6%,
DURHAM COLLEGE,"1,897",598,31.5%,
FANSHAWE COLLEGE,"3,140",942,30.0%,
FLEMING COLLEGE,"1,871",623,33.3%,
GEORGE BROWN COLLEGE,"3,958","1,468",37.1%,
GEORGIAN COLLEGE,"2,712",877,32.3%,
HUMBER COLLEGE,"4,757","1,710",35.9%,
LA CITE COLLEGIALE,605,227,37.5%,
LAMBTON COLLEGE,751,247,32.9%,
LOYALIST COLLEGE,884,294,33.3%,
MOHAWK COLLEGE,"2,548",785,30.8%,
NIAGARA COLLEGE,"2,261",679,30.0%,
NORTHERN COLLEGE,322,97,30.1%,
SAULT COLLEGE,583,194,33.3%,
SENECA COLLEGE,"4,299","1,638",38.1%,
SHERIDAN COLLEGE,"3,358","1,197",35.6%,
ST. CLAIR COLLEGE,"2,040",744,36.5%,
ST. LAWRENCE COLLEGE,"1,684",558,33.1%,
Ontario Public Colleges Total,"48,832","16,722",34.2%,
,,,,
Notes:, ,,,
1) Number of borrowers who received Canada-Ontario Integrated Student Loan in 2012-13 and did not receive loans or grants ,,,,
through the Ontario Student Assistance Program in 2013-14. ,,,,
2) Number of borrowers as per note 1) who were approved for one or more six month terms of repayment assistance for their ,,,,
 Canada-Ontario Integrated Student Loan between March 2013 and July 2015. ,,,,
3) The percentage of borrowers who received repayment assistance for one or more terms; column 2 divided by column 1.,,,,
