2015 OSAP Repayment Assistance Participation Rates by Program,,,,,,,,,,
Private Career Colleges in Ontario,,,,,,,,,,
INSTITUTION NAME,PROGRAM NAME,# of Borrowers 2012-13 (1),# of 12-13 Borrowers who received Repayment Assistance (2),2015 Repayment Assistance Participation Rate (3),,,,,,
,,, , , ,,,,,
,,,,,,,,,,
ACAD DE DESSIN DE MODE RICHARD ROBINSON,Fashion Designer,9,2,22.2%,,,,,,
ACAD DE DESSIN DE MODE RICHARD ROBINSON Total,,9,2,22.2%,,,,,,
,,,,,,,,,,
Notes:, ,,,,,,,,,
1) Number of borrowers who received Canada-Ontario Integrated Student Loan in 2012-13 and did not receive loans or grants ,,,,,,,,,,
through the Ontario Student Assistance Program in 2013-14. ,,,,,,,,,,
2) Number of borrowers as per note 1) who were approved for one or more six month terms of repayment assistance for their ,,,,,,,,,,
 Canada-Ontario Integrated Student Loan between March 2013 and July 2015. ,,,,,,,,,,
3) The percentage of borrowers who received repayment assistance for one or more terms; column 2 divided by column 1.,,,,,,,,,,
* Number of borrowers is less than 5; data suppressed but included in the totals for the institutions. ,,,,,,,,,,
,,,,,,,,,,
ACADEMY OF APPLIED PHARMACEUTICAL SCIENCES,Diploma In Clinical Research,40,27,67.5%,,,,,,
,Food Safety And Quality,14,9,64.3%,,,,,,
,Pharmaceutical Quality Assurance And Quality Control,39,18,46.2%,,,,,,
,Pharmaceutical Quality Control,*,*,*,,,,,,
,Professional Regulatory Affairs,*,*,*,,,,,,
ACADEMY OF APPLIED PHARMACEUTICAL SCIENCES Total,,96,55,57.3%,,,,,,
,,,,,,,,,,
ACADEMY OF HAIR PASSION,Hairstyling,7,1,14.3%,,,,,,
ACADEMY OF HAIR PASSION,,7,1,14.3%,,,,,,
,,,,,,,,,,
ACADEMY OF LEARNING - ETOBICOKE,Accounting Clerk,*,*,*,,,,,,
,Accounting And Payroll Administration,10,2,20.0%,,,,,,
,Business Administration,5,1,20.0%,,,,,,
,Community Services Worker,10,7,70.0%,,,,,,
,Computer Service Technician,*,*,*,,,,,,
,Home Inspection Certificate,*,*,*,,,,,,
,Home Inspection Diploma,*,*,*,,,,,,
,International Hospitality Management,6,3,50.0%,,,,,,
,Medical Office Assistant,8,6,75.0%,,,,,,
,Medical Receptionist,*,*,*,,,,,,
,Medical Office Assistant - Health Unit Coordinator Specialist,12,8,66.7%,,,,,,
,Network Administrator,6,3,50.0%,,,,,,
,Personal Support Worker,29,14,48.3%,,,,,,
,Web Designer Diploma,*,*,*,,,,,,
ACADEMY OF LEARNING - ETOBICOKE Total,,96,50,52.1%,,,,,,
,,,,,,,,,,
ACADEMY OF LEARNING - GUELPH,Accounting And Payroll Administration,5,2,40.0%,,,,,,
,Business And Office Accounting Clerk,*,*,*,,,,,,
,Business Administration,12,6,50.0%,,,,,,
,Conference And Event Planner,*,*,*,,,,,,
,Home Inspection Diploma,*,*,*,,,,,,
,Insurance Advisor Diploma,*,*,*,,,,,,
,Marketing Coordinator,*,*,*,,,,,,
,Medical Receptionist,11,7,63.6%,,,,,,
,Pc Support Specialist,5,0,0.0%,,,,,,
,Web Design Diploma,*,*,*,,,,,,
