2015 OSAP Repayment Assistance Participation Rates ,,,,
Private Career Colleges in Ontario,,,,
Institution Name,# of Borrowers 2012-13 (1),# of 12-13 Borrowers who received Repayment Assistance (2),2015 Repayment Assistance Participation Rate (3),
ACAD DE DESSIN DE MODE RICHARD ROBINSON,9,2,22.2%,
ACADEMY APPLIED PHARMA SCIENCE,96,55,57.3%,
ACADEMY OF HAIR PASSION,7,1,14.3%,
ACADEMY OF LEARNING - ETOBICOKE,96,50,52.1%,
ACADEMY OF LEARNING - GUELPH,47,20,42.6%,
ACADEMY OF LEARNING - HAMILTON/MAIN ST.,5,3,60.0%,
ACADEMY OF LEARNING - KINGSTON,*,*,*,
ACADEMY OF LEARNING - MISSISSAUGA EAST,61,28,45.9%,
ACADEMY OF LEARNING - OAKVILLE,43,22,51.2%,
ACADEMY OF LEARNING - RICHMOND HILL,24,12,50.0%,
"ACADEMY OF LEARNING - SCARBOROUGH, LAWRENCE AVE.",39,27,69.2%,
"ACADEMY OF LEARNING - SCARBOROUGH, WARDEN & SHEPPARD",74,38,51.4%,
"ACADEMY OF LEARNING - TORONTO, BAY ST.",304,173,56.9%,
ACADEMY OF LEARNING - TORONTO/FINCH AV W,45,24,53.3%,
ALGONQUIN CAREERS ACADEMY - MISISSAUGA,70,36,51.4%,
ALGONQUIN CAREERS ACADEMY - OTTAWA,57,31,54.4%,
"ANDERSON COLLEGE OF HEALTH, BUS & TECH",151,72,47.7%,
AUTOMOTIVE TRAINING CENTRE - CAMBRIDGE,*,*,*,
AUTOMOTIVE TRAINING CENTRE - TORONTO,*,*,*,
AVOLA COLLEGE OF HAIRSTYLING & ESTHETICS,21,10,47.6%,
BIZTECH INSTUTUTE,*,*,*,
BRYAN COLLEGE OF APPLIED H&B SCIENCES,87,33,37.9%,
CANADA'S NATIONAL BALLET SCHOOL,*,*,*,
CANADIAN ALL CARE COLLEGE,8,4,50.0%,
CANADIAN BUSINESS COLLEGE - MISSISSAUGA,17,9,52.9%,
CANADIAN BUSINESS COLLEGE - SCARBOROUGH,37,17,45.9%,
"CANADIAN BUSINESS COLLEGE - TORONTO, BLOOR ST.",67,37,55.2%,
CANADIAN CAREER COLLEGE - MISSISSAUGA,35,21,60.0%,
CANADIAN CAREER COLLEGE - SCARBOROUGH,*,*,*,
CANADIAN CAREER COLLEGE - TORONTO,*,*,*,
"CANADIAN COLLEGE OF BUS., SCIENCE & TECH - BRAMPTON",21,12,57.1%,
"CANADIAN COLLEGE OF BUS., SCIENCE & TECH - SCARBOROUGH",*,*,*,
CANADIAN COLLEGE OF HEALTH SCIENCE & TECHNOLOGY,44,27,61.4%,
CANADIAN COLLEGE OF MASSAGE AND HYDROTHERAPY - DOWNSVIEW,29,9,31.0%,
CANADIAN COLLEGE OF MASSAGE AND HYDROTHERAPY - KITCHENER,30,10,33.3%,
,,,,
Notes:, ,,,
1) Number of borrowers who received Canada-Ontario Integrated Student Loan in 2012-13 and did not receive loans or grants ,,,,
through the Ontario Student Assistance Program in 2013-14. ,,,,
2) Number of borrowers as per note 1) who were approved for one or more six month terms of repayment assistance for their ,,,,
 Canada-Ontario Integrated Student Loan between March 2013 and July 2015. ,,,,
3) The percentage of borrowers who received repayment assistance for one or more terms; column 2 divided by column 1.,,,,
* Number of borrowers is less than 5; data suppressed but included in the totals for the institutions. ,,,,
,,,,
CANADIAN MOTHERCRAFT SOCIETY,37,18,48.6%,
CANADIAN SCHOOL OF PRIVATE INVESTIGATION & SECURITY,*,*,*,
CDI COLLEGE - AJAX,83,40,48.2%,
CDI COLLEGE - HAMILTON     ,30,11,36.7%,
CDI COLLEGE - MISSISSAUGA,110,56,50.9%,
CDI COLLEGE - NORTH YORK  ,28,13,46.4%,
CDI COLLEGE - SCARBOROUGH,36,14,38.9%,
CDI COLLEGE - TORONTO,86,53,61.6%,
CITI COLLEGE OF CANADIAN CAREERS - MISSSISSAUGA   ,*,*,*,
CITI COLLEGE OF CANADIAN CAREERS - TORONTO,72,37,51.4%,
CJ HEALTH CARE COLLEGE,56,30,53.6%,
CLI COLLEGE OF BUSINESS HEALTH & TECH     ,13,8,61.5%,
CMU COLLEGE OF MAKEUP ART & DESIGN,31,9,29.0%,
COMPUTEK COLLEGE - MARKHAM,6,0,0.0%,
COMPUTEK COLLEGE - SCARBOROUGH,5,1,20.0%,
COMPUTEK COLLEGE - TORONTO,12,2,16.7%,
CTS CANADIAN CAREER COLLEGE - BARRIE,134,47,35.1%,
CTS CANADIAN CAREER COLLEGE - NORTHBAY,144,65,45.1%,
CTS CANADIAN CAREER COLLEGE - SUDBURY,106,43,40.6%,
D'ARCY LANE INCORPORATED,14,2,14.3%,
ELEGANCE SCHOOL OF ESTHETICS - CORNWALL,24,9,37.5%,
