2015 OSAP Repayment Assistance Participation Rates by Program,,,,,,,,,
Ontario Universities,,,,,,,,,
,,,,,,,,,
INSTITUTION NAME,PROGRAM NAME,# of Borrowers 2012-13 (1),# of 12-13 Borrowers who received Repayment Assistance (2),2015 Repayment Assistance Participation Rate (3),,,,,
ALGOMA UNIVERSITY COLLEGE,Agricultural And Biological Sciences,8,3,37.5%,,,,,
,Business and Commerce,40,17,42.5%,,,,,
,Computer Science,10,4,40.0%,,,,,
,Fine And Applied Arts,*,*,*,,,,,
,Humanities,9,4,44.4%,,,,,
,Mathematics,*,*,*,,,,,
,Other Arts and Science,10,3,30.0%,,,,,
,Social Sciences,73,28,38.4%,,,,,
ALGOMA UNIVERSITY COLLEGE Total,,156,59,37.8%,,,,,
,,, ,,,,,,
,,,,,,,,,
1) Number of borrowers who received Canada-Ontario Integrated Student Loan in 2012-13 and did not receive loans or grants through the Ontario Student Assistance Program in 2013-14. ,,,,,,,,,
,,,,,,,,,
2) Number of borrowers from 1)  who received repayment assistance for 1 or more 6 month terms between the end of their 2012-13 studies and July 2015.,,,,,,,,,
,,,,,,,,,
"3) Number of defaults divided by the number of loan recipients, column 2/column 1.",,,,,,,,,
"Not reported, not applicable - program of studies was either not reported, or not applicable to the student   ",,,,,,,,,
Unmatched - the student record in the OSAP database could not be matched with the university enrolment file,,,,,,,,,
"*   Number of Ontario Student Loans issued was less than 5, default information has not been shown. ",,,,,,,,,
,,,,,,,,,
BROCK UNIVERSITY,Agricultural And Biological Sciences,15,5,33.3%,,,,,
,Business and Commerce,340,95,27.9%,,,,,
,Computer Science,27,6,22.2%,,,,,
,Education (Teacher Training),299,86,28.8%,,,,,
,Fine And Applied Arts,72,21,29.2%,,,,,
,Humanities,223,70,31.4%,,,,,
,"Kinesiology, Recreation And Physical Education",202,47,23.3%,,,,,
,Mathematics,17,5,29.4%,,,,,
,Nursing,47,5,10.6%,,,,,
,Other Arts and Science,319,106,33.2%,,,,,
,Other Health Professions,63,19,30.2%,,,,,
,Physical Sciences,88,27,30.7%,,,,,
,Social Sciences,379,123,32.5%,,,,,
BROCK UNIVERSITY Total,,"2,091",615,29.4%,,,,,
,,,,,,,,,
CARLETON UNIVERSITY,Architecture And Landscape Architecture,40,11,27.5%,,,,,
,Business and Commerce,184,56,30.4%,,,,,
,Computer Science,95,23,24.2%,,,,,
,Engineering,343,79,23.0%,,,,,
,Fine And Applied Arts,28,3,10.7%,,,,,
,Humanities,*,*,*,,,,,
,Journalism,51,14,27.5%,,,,,
,Mathematics,18,6,33.3%,,,,,
,Other Arts and Science,"1,508",556,36.9%,,,,,
,Social Sciences,151,42,27.8%,,,,,
,Theology,*,*,*,,,,,
CARLETON UNIVERSITY Total,,"2,423",794,32.8%,,,,,
,,,,,,,,,
LAKEHEAD UNIVERSITY,Business and Commerce,64,21,32.8%,,,,,
,Education (Teacher Training),307,116,37.8%,,,,,
,Engineering,223,36,16.1%,,,,,
,Fine And Applied Arts,5,0,0.0%,,,,,
,Forestry,30,5,16.7%,,,,,
,Humanities,296,101,34.1%,,,,,
,"Kinesiology, Recreation And Physical Education",127,28,22.0%,,,,,
,Nursing,104,22,21.2%,,,,,
,Other Arts and Science,15,8,53.3%,,,,,
,Other Health Professions,12,4,33.3%,,,,,
,Social Sciences,90,34,37.8%,,,,,
LAKEHEAD UNIVERSITY Total,,"1,273",375,29.5%,,,,,
,,,,,,,,,
LAURENTIAN UNIVERSITY,Business and Commerce,50,15,30.0%,,,,,
,Computer Science,*,*,*,,,,,
,Education (Teacher Training),136,35,25.7%,,,,,
,Engineering,29,6,20.7%,,,,,
,Humanities,*,*,*,,,,,
,"Kinesiology, Recreation And Physical Education",32,5,15.6%,,,,,
,Nursing,37,4,10.8%,,,,,
,Other Arts and Science,401,150,37.4%,,,,,
,Other Health Professions,13,8,61.5%,,,,,
,Social Sciences,51,21,41.2%,,,,,
LAURENTIAN UNIVERSITY Total,,755,246,32.6%,,,,,
,,,,,,,,,
MCMASTER UNIVERSITY,Agricultural And Biological Sciences,290,92,31.7%,,,,,
,Business and Commerce,343,96,28.0%,,,,,
,Computer Science,39,8,20.5%,,,,,
,Engineering,702,146,20.8%,,,,,
,Fine And Applied Arts,48,13,27.1%,,,,,
,Humanities,178,60,33.7%,,,,,
,"Kinesiology, Recreation And Physical Education",25,2,8.0%,,,,,
,Mathematics,7,1,14.3%,,,,,
,Medicine,143,7,4.9%,,,,,
,Nursing,131,20,15.3%,,,,,
,Other Arts and Science,672,202,30.1%,,,,,
,Other Health Professions,215,44,20.5%,,,,,
,Physical Sciences,33,6,18.2%,,,,,
,Social Sciences,293,107,36.5%,,,,,
,Theology,5,3,60.0%,,,,,
,Therapy And Rehabilitation,90,17,18.9%,,,,,
MCMASTER UNIVERSITY Total,,"3,214",824,25.6%,,,,,
,,,,,,,,,
NIPISSING UNIVERSITY,Business and Commerce,110,39,35.5%,,,,,
,Computer Science,*,*,*,,,,,
,Education (Teacher Training),452,106,23.5%,,,,,
,Fine And Applied Arts,7,3,42.9%,,,,,
,Humanities,5,3,60.0%,,,,,
,"Kinesiology, Recreation And Physical Education",33,2,6.1%,,,,,
,Mathematics,*,*,*,,,,,
,Nursing,67,11,16.4%,,,,,
,Other Arts and Science,213,77,36.2%,,,,,
,Other Education,8,3,37.5%,,,,,
,Social Sciences,29,12,41.4%,,,,,
NIPISSING UNIVERSITY Total,,928,257,27.7%,,,,,
,,,,,,,,,
NORTHERN ONTARIO SCHOOL OF MEDICINE,Medicine,55,2,3.6%,,,,,
NORTHERN ONTARIO SCHOOL OF MEDICINE Total,,55,2,3.6%,,,,,
,,,,,,,,,
ONTARIO COLLEGE OF ART AND DESIGN UNIVERSITY,Fine And Applied Arts,624,271,43.4%,,,,,
ONTARIO COLLEGE OF ART AND DESIGN UNIVERSITY Total,,624,271,43.4%,,,,,
,,,,,,,,,
QUEEN'S UNIVERSITY,Business and Commerce,170,25,14.7%,,,,,
,Computer Science,18,4,22.2%,,,,,
,Education (Teacher Training),302,66,21.9%,,,,,
,Engineering,238,36,15.1%,,,,,
,Fine And Applied Arts,28,7,25.0%,,,,,
,Humanities,21,8,38.1%,,,,,
,"Kinesiology, Recreation And Physical Education",18,4,22.2%,,,,,
,Law,90,14,15.6%,,,,,
,Medicine,63,1,1.6%,,,,,
,Nursing,54,5,9.3%,,,,,
,Other Arts and Science,689,173,25.1%,,,,,
,Other Health Professions,11,1,9.1%,,,,,
,Social Sciences,42,7,16.7%,,,,,
,Theology,*,*,*,,,,,
,Therapy And Rehabilitation,76,9,11.8%,,,,,
QUEEN'S UNIVERSITY Total,,"1,823",361,19.8%,,,,,
,,,,,,,,,
ROYAL MILITARY COLLEGE OF CANADA,Unmatched,8,1,12.5%,,,,,
ROYAL MILITARY COLLEGE OF CANADA Total,,8,1,12.5%,,,,,
,,,,,,,,,
RYERSON UNIVERSITY,Agricultural And Biological Sciences,99,37,37.4%,,,,,
,Architecture And Landscape Architecture,73,26,35.6%,,,,,
,Business and Commerce,1135,376,33.1%,,,,,
,Computer Science,94,27,28.7%,,,,,
,Education (Teacher Training),83,26,31.3%,,,,,
,Engineering,689,235,34.1%,,,,,
,Fine And Applied Arts,330,105,31.8%,,,,,
,Food Science And Nutrition,53,22,41.5%,,,,,
,Humanities,162,56,34.6%,,,,,
,Journalism,80,24,30.0%,,,,,
,Mathematics,17,5,29.4%,,,,,
,Nursing,334,139,41.6%,,,,,
