,,,,,,,,,,,
9.2 Value of full-time loans by jurisdiction since 1964 ($ million),,,,,,,,,,,
Loan year,Canada,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia,Yukon
1964-1965,26.7,0.5,0.3,1.8,1.4,14.4,1.4,1.9,2.1,3.1,0.01
1965-1966,34.6,0.9,0.4,2.9,2.3,14.6,2.2,3.4,3.1,4.8,0.02
1966-1967,40.5,0.8,0.6,3.3,3,14.4,2.8,4.5,4.4,6.6,0.02
1967-1968,57.3,1.1,0.7,4.3,4.2,23.6,3.2,5.8,6.3,8,0.01
1968-1969,63.9,1.5,0.8,5.1,4.8,26.6,3.4,6.4,8.1,7.3,0.02
1969-1970,78.1,3.1,0.9,7,5.4,31.8,4.3,8.4,10.5,6.6,0.02
1970-1971,86.1,4.9,1.4,7.9,6.5,32.3,3.4,8.5,14.3,6.8,0.02
1971-1972,87.5,5.5,1.6,8.8,6.7,33.5,4.1,7.3,13.8,6.1,0.03
1972-1973,102.3,6.7,2.1,10.2,7.5,45.1,3.7,6.8,14.9,5.3,0.02
1973-1974,108.7,5.2,1.9,10.8,6.9,50.8,4.5,6.1,15.2,7.2,0.03
1974-1975,121,4.4,1.8,11.8,7.3,60.1,5.5,5.4,14.9,9.7,0.04
1975-1976,148.3,4.3,2,13.1,8.9,74.4,6.3,5.4,18.1,15.7,0.11
1976-1977,160.9,4.8,2.1,12.6,7.9,80.4,10,5.2,18.6,19.2,0.12
1977-1978,134.6,4.4,1.7,10.9,8,57.7,8,7.2,17.6,19,0.14
1978-1979,147.9,4.8,1.7,10.7,8.2,70.2,6.9,7.6,18,19.6,0.13
1979-1980,142.7,4.9,1.6,11.1,8.5,65.9,6.5,6.5,17.7,19.8,0.15
1980-1981,162.1,5.9,1.8,11.6,9,80.2,6.7,7,19.8,19.9,0.14
1981-1982,199.9,7,2.3,13.7,10.1,99.8,9.9,7.7,25.4,23.6,0.2
1982-1983,280.3,10.8,2.8,18.6,15.3,144.3,13.6,10.5,30.3,34.1,0.2
1983-1984,454.9,13.7,4.1,30.4,21.8,224.9,25,18,67.9,48.7,0.37
1984-1985,526.7,22.3,4.6,34.4,24.2,247.1,30.8,18.4,95.5,48.9,0.48
1985-1986,576.9,29.8,5.1,35.8,31.2,239.8,35.6,24.6,114.5,60,0.54
1986-1987,621,35.9,5.7,39.9,33.2,231.2,37.6,39.6,126.1,71.1,0.55
1987-1988,612,33.9,5.8,39.5,34.4,200,40.4,47.3,120.6,89.6,0.56
1988-1989,551,31.1,5.3,39.3,32.9,183,39.3,47,108.4,64,0.65
1989-1990,599.2,32.1,6.9,40.9,35.8,201.5,36,48.9,112,84.6,0.52
1990-1991,665.8,36.4,6.1,43.6,39.2,238.1,38.8,48.6,114.1,100.1,0.83
1991-1992,797.2,34.2,6.1,44.9,41.7,351.2,38.8,52.3,112.2,114.9,0.93
1992-1993,846.6,35.9,6.4,42.9,42.4,395.7,35.3,56.3,117.9,113.1,0.78
1993-1994,986.7,38,6.1,42.7,44.1,511.7,35.5,50.7,127.1,129.5,1.1
1994-1995,"1,214.60",54.1,7.5,51.2,33,681.9,35.5,56.3,117.2,176.9,0.9
1995-1996,"1,340.00",74.1,8.4,51.1,29.3,741.6,35.7,54.9,140.7,202.9,1.2
1996-1997,"1,583.90",91.5,13.4,62.8,82.5,880.8,30.6,56.1,147.6,217.5,1.2
1997-1998,"1,567.80",86.1,11.4,62.8,79.7,856,37.1,57.5,133.3,243,1
1998-1999,"1,557.20",88.8,11.9,94.7,67.6,817.3,38.2,67.3,146.9,223.4,1.02
1999-2000,"1,549.60",70,10.1,90.2,61.9,780.9,44.3,72.8,170.5,247.7,1.11
2000-2001,"1,564.70",69.5,13.5,90.7,77.6,704.5,46.9,78.2,184.2,298.6,1.2
2001-2002,"1,507.40",61.3,16.1,92.9,77.7,643.7,44.5,79,181.3,309.5,1.28
2002-2003,"1,544.70",56.2,17,92.5,77.9,664.6,43.4,74.5,187.3,330,1.27
2003-2004,"1,643.00",52,17.9,92.6,82.5,734.5,44.1,76,200.1,342,1.28
2004-2005,"1,628.80",46.5,17.3,88.8,80,768.9,41.5,71.3,198.9,314.4,1.24
2005-2006,"1,935.00",49.3,21.2,107.1,88.8,971.2,48.7,80.8,215,351.5,1.41
2006-2007,"1,927.10",45.7,22.6,102.6,91.4,"1,034.90",44.3,74,189.4,320.9,1.35
2007-2008,"2,012.50",43.9,24.6,102.1,88.2,"1,146.00",43.1,66,190.5,306.9,1.19
2008-2009,"2,077.80",39.7,21.7,101.7,83.2,"1,210.00",41.3,58.8,204.8,315.3,1.33
2009-2010,"2,083.20",33.3,21,97.5,74.3,"1,208.80",36.4,56.1,216.5,338.3,1.07
2010-2011,"2,218.90",31.1,21.2,98.5,73.2,"1,285.00",40.3,65.1,252.3,351,1.14
2011-2012,"2,400.70",29.9,21.1,106.1,74.1,"1,420.00",44.6,66.2,275.8,361.9,1.13
2012-2013,"2,566.40",29.9,21.3,110.5,71.7,"1,603.90",47.8,66.6,269.3,344.5,0.95
2013-2014,"2,700.70",29,20.3,116.7,70.4,"1,735.30",47.3,66.1,274.1,340.5,0.89
2014-2015,"2,702.20",28,18.8,115.1,66.4,"1,736.60",46,68.6,285.9,335.7,0.98
*Total*,"*48,747.8*","*1,534.8*",*449.0*,"*2,538.8*","*2,044.4*","*25,4670.8*","*1,381.0*","*1,985.5*","*5,670.8*","*7,136.8*",*32.9*
