INSTITUTION NAME,PROGRAM NAME,# of Borrowers 2012-13 (1),# of 12-13 Borrowers who received Repayment Assistance (2),2015 Repayment Assistance Participation Rate (3),,,,,
ALGOMA UNIVERSITY COLLEGE,Agricultural And Biological Sciences,8,3,37.5%,,,,,
ALGOMA UNIVERSITY COLLEGE,Business and Commerce,40,17,42.5%,,,,,
ALGOMA UNIVERSITY COLLEGE,Computer Science,10,4,40%,,,,,
ALGOMA UNIVERSITY COLLEGE,Fine And Applied Arts,*,*,*,,,,,
ALGOMA UNIVERSITY COLLEGE,Humanities,9,4,44.4%,,,,,
ALGOMA UNIVERSITY COLLEGE,Mathematics,*,*,*,,,,,
ALGOMA UNIVERSITY COLLEGE,Other Arts and Science,10,3,30%,,,,,
ALGOMA UNIVERSITY COLLEGE,Social Sciences,73,28,38.4%,,,,,
BROCK UNIVERSITY,Agricultural And Biological Sciences,15,5,33.3%,,,,,
BROCK UNIVERSITY,Business and Commerce,340,95,27.9%,,,,,
BROCK UNIVERSITY,Computer Science,27,6,22.2%,,,,,
BROCK UNIVERSITY,Education (Teacher Training),299,86,28.8%,,,,,
BROCK UNIVERSITY,Fine And Applied Arts,72,21,29.2%,,,,,
BROCK UNIVERSITY,Humanities,223,70,31.4%,,,,,
BROCK UNIVERSITY,"Kinesiology, Recreation And Physical Education",202,47,23.3%,,,,,
BROCK UNIVERSITY,Mathematics,17,5,29.4%,,,,,
BROCK UNIVERSITY,Nursing,47,5,10.6%,,,,,
BROCK UNIVERSITY,Other Arts and Science,319,106,33.2%,,,,,
BROCK UNIVERSITY,Other Health Professions,63,19,30.2%,,,,,
BROCK UNIVERSITY,Physical Sciences,88,27,30.7%,,,,,
BROCK UNIVERSITY,Social Sciences,379,123,32.5%,,,,,
CARLETON UNIVERSITY,Architecture And Landscape Architecture,40,11,27.5%,,,,,
CARLETON UNIVERSITY,Business and Commerce,184,56,30.4%,,,,,
CARLETON UNIVERSITY,Computer Science,95,23,24.2%,,,,,
CARLETON UNIVERSITY,Engineering,343,79,23%,,,,,
CARLETON UNIVERSITY,Fine And Applied Arts,28,3,10.7%,,,,,
CARLETON UNIVERSITY,Humanities,*,*,*,,,,,
CARLETON UNIVERSITY,Journalism,51,14,27.5%,,,,,
CARLETON UNIVERSITY,Mathematics,18,6,33.3%,,,,,
CARLETON UNIVERSITY,Other Arts and Science,1508,556,36.9%,,,,,
CARLETON UNIVERSITY,Social Sciences,151,42,27.8%,,,,,
CARLETON UNIVERSITY,Theology,*,*,*,,,,,
LAKEHEAD UNIVERSITY,Business and Commerce,64,21,32.8%,,,,,
LAKEHEAD UNIVERSITY,Education (Teacher Training),307,116,37.8%,,,,,
LAKEHEAD UNIVERSITY,Engineering,223,36,16.1%,,,,,
LAKEHEAD UNIVERSITY,Fine And Applied Arts,5,0,0%,,,,,
LAKEHEAD UNIVERSITY,Forestry,30,5,16.7%,,,,,
LAKEHEAD UNIVERSITY,Humanities,296,101,34.1%,,,,,
LAKEHEAD UNIVERSITY,"Kinesiology, Recreation And Physical Education",127,28,22%,,,,,
LAKEHEAD UNIVERSITY,Nursing,104,22,21.2%,,,,,
LAKEHEAD UNIVERSITY,Other Arts and Science,15,8,53.3%,,,,,
LAKEHEAD UNIVERSITY,Other Health Professions,12,4,33.3%,,,,,
LAKEHEAD UNIVERSITY,Social Sciences,90,34,37.8%,,,,,
LAURENTIAN UNIVERSITY,Business and Commerce,50,15,30%,,,,,
LAURENTIAN UNIVERSITY,Computer Science,*,*,*,,,,,
LAURENTIAN UNIVERSITY,Education (Teacher Training),136,35,25.7%,,,,,
LAURENTIAN UNIVERSITY,Engineering,29,6,20.7%,,,,,
LAURENTIAN UNIVERSITY,Humanities,*,*,*,,,,,
LAURENTIAN UNIVERSITY,"Kinesiology, Recreation And Physical Education",32,5,15.6%,,,,,
LAURENTIAN UNIVERSITY,Nursing,37,4,10.8%,,,,,
LAURENTIAN UNIVERSITY,Other Arts and Science,401,150,37.4%,,,,,
LAURENTIAN UNIVERSITY,Other Health Professions,13,8,61.5%,,,,,
LAURENTIAN UNIVERSITY,Social Sciences,51,21,41.2%,,,,,
MCMASTER UNIVERSITY,Agricultural And Biological Sciences,290,92,31.7%,,,,,
MCMASTER UNIVERSITY,Business and Commerce,343,96,28%,,,,,
MCMASTER UNIVERSITY,Computer Science,39,8,20.5%,,,,,
MCMASTER UNIVERSITY,Engineering,702,146,20.8%,,,,,
MCMASTER UNIVERSITY,Fine And Applied Arts,48,13,27.1%,,,,,
MCMASTER UNIVERSITY,Humanities,178,60,33.7%,,,,,
MCMASTER UNIVERSITY,"Kinesiology, Recreation And Physical Education",25,2,8%,,,,,
MCMASTER UNIVERSITY,Mathematics,7,1,14.3%,,,,,
MCMASTER UNIVERSITY,Medicine,143,7,4.9%,,,,,
MCMASTER UNIVERSITY,Nursing,131,20,15.3%,,,,,
MCMASTER UNIVERSITY,Other Arts and Science,672,202,30.1%,,,,,
MCMASTER UNIVERSITY,Other Health Professions,215,44,20.5%,,,,,
MCMASTER UNIVERSITY,Physical Sciences,33,6,18.2%,,,,,
MCMASTER UNIVERSITY,Social Sciences,293,107,36.5%,,,,,
