2013 OSAP Repayment Assistance Participation Rates - Private Career Colleges in Ontario,,,,
,,,,
Institution Name,# of Borrowers 2010-11 (1),# of Borrowers who received Repayment Assistance (2),2013 Repayment Assistance Participation Rate (3),
,,,,
ACAD DE DESSIN DE MODE RICHARD ROBINSON,6,3,50.0%,
ACADEMY OF APPLIED PHARMACEUTICAL SCIENCES,40,13,32.5%,
ACADEMY OF LEARNING - ETOBICOKE/ALBION,97,62,63.9%,
ACADEMY OF LEARNING - GUELPH,35,10,28.6%,
ACADEMY OF LEARNING - HAMILTON/MAIN ST.,*,*,*,
ACADEMY OF LEARNING - MISSISSAUGA EAST,30,17,56.7%,
ACADEMY OF LEARNING - NEWMARKET,*,*,*,
ACADEMY OF LEARNING - OAKVILLE,48,28,58.3%,
ACADEMY OF LEARNING - RICHMOND HILL ,10,7,70.0%,
ACADEMY OF LEARNING - SCARBOROUGH,47,37,78.7%,
ACADEMY OF LEARNING - TORONTO/BAY ST.,405,195,48.1%,
ACADEMY OF LEARNING - TORONTO/FINCH AVE. W,68,41,60.3%,
ACADEMY OF LEARNING - TORONTO/SHEPPARD AVE.,77,46,59.7%,
ALGONQUIN CAREERS ACADEMY - MISSISSAUGA,86,43,50.0%,
ALGONQUIN CAREERS ACADEMY - OTTAWA,74,28,37.8%,
"ANDERSON COLLEGE OF HEALTH, BUS. & TECH.",15,5,33.3%,
AVOLA COLLEGE OF HAIRSTYLING & ESTHETICS,21,7,33.3%,
BRYAN COLLEGE OF APPLIED H&B SCIENCES,37,19,51.4%,
CANADA'S NATIONAL BALLET SCHOOL,*,*,*,
CANADIAN AUTOMOTIVE & TRUCKING INSTITUTE,*,*,*,
CANADIAN BUSINESS COLLEGE - BLOOR,69,26,37.7%,
CANADIAN BUSINESS COLLEGE - MISSISSAUGA,14,3,21.4%,
"CANADIAN COLLEGE OF BUSINESS, SCIENCE & TECHNOLOGY",49,20,40.8%,
CANADIAN COLLEGE OF HEALTH SCIENCE & TECHNOLOGY,41,13,31.7%,
CANADIAN COLLEGE OF MASSAGE & HYDROTHERAPY - DOWNSVIEW,21,10,47.6%,
CANADIAN COLLEGE OF MASSAGE & HYDROTHERAPY - KITCHENER,19,4,21.1%,
CANADIAN LAW ENFORCEMENT TRAINING COLLEGE - TORONTO,71,25,35.2%,
CANADIAN MOTHERCRAFT SOCIETY,26,13,50.0%,
CANADIAN SCHOOL OF PRIVATE INVESTIGATION & SECURITY,6,2,33.3%,
"CDI COLLEGE OF BUSINESS, TECH. & HEALTH - AJAX",35,19,54.3%,
