2013 OSAP Repayment Assistance Participation Rates - Ontario Universities,,,,,,
,,,,,,
Institution Name,# of Borrowers 2010-11 (1),# of Borrowers who received Repayment Assistance (2),2013 Repayment Assistance Participation Rate (3),,,
ALGOMA UNIVERSITY,138,57,41.3%,,,
BROCK UNIVERSITY,"1,931",490,25.4%,,,
CARLETON UNIVERSITY,"2,053",645,31.4%,,,
LAKEHEAD UNIVERSITY,"1,201",318,26.5%,,,
LAURENTIAN UNIVERSITY,766,253,33.0%,,,
MCMASTER UNIVERSITY,"3,034",712,23.5%,,,
NIPISSING UNIVERSITY,835,219,26.2%,,,
NORTHERN ONTARIO SCHOOL OF MEDICINE,42,0,0.0%,,,
ONTARIO COLLEGE OF ART AND DESIGN UNIVERSITY,533,246,46.2%,,,
QUEEN'S UNIVERSITY,"1,692",330,19.5%,,,
ROYAL MILITARY COLLEGE OF CANADA,11,2,18.2%,,,
RYERSON UNIVERSITY,"3,764","1,294",34.4%,,,
TRENT UNIVERSITY,"1,128",402,35.6%,,,
UNIVERSITY OF GUELPH,"2,526",652,25.8%,,,
UNIVERSITY OF ONTARIO INSTITUTE OF TECHNOLOGY,967,337,34.9%,,,
UNIVERSITY OF OTTAWA,"3,410",958,28.1%,,,
UNIVERSITY OF TORONTO,"8,531","2,398",28.1%,,,
UNIVERSITY OF WATERLOO,"3,273",579,17.7%,,,
UNIVERSITY OF WESTERN ONTARIO,"3,801",959,25.2%,,,
UNIVERSITY OF WINDSOR,"1,968",699,35.5%,,,
WILFRID LAURIER UNIVERSITY,"1,777",401,22.6%,,,
YORK UNIVERSITY,"6,367","2,465",38.7%,,,
ONTARIO UNIVERSITIES TOTAL,"49,748","14,416",29.0%,,,
,,,,,,
Notes:, ,,,,,
1) Number of borrowers who received Canada-Ontario Integrated Student Loan in 2010-11 and did not receive loans or grants through the Ontario Student Assistance Program in 2011-12. ,,,,,,
,,,,,,
2) Number of borrowers as per note 1) who were approved for one or more six month terms of repayment assistance for their Canada-Ontario Integrated Student Loan between March 2011 and July 2013. ,,,,,,
3) The percentage of borrowers who received repayment assistance for one or more terms; column 2 divided by column 1.,,,,,,
