Institution Name,# of Borrowers 2010-11 (1),# of Borrowers who received Repayment Assistance (2),2013 Repayment Assistance Participation Rate (3)
ALGOMA UNIVERSITY,138,57,41.3%
BROCK UNIVERSITY,1931,490,25.4%
CARLETON UNIVERSITY,2053,645,31.4%
LAKEHEAD UNIVERSITY,1201,318,26.5%
LAURENTIAN UNIVERSITY,766,253,33%
MCMASTER UNIVERSITY,3034,712,23.5%
NIPISSING UNIVERSITY,835,219,26.2%
NORTHERN ONTARIO SCHOOL OF MEDICINE,42,0,0%
ONTARIO COLLEGE OF ART AND DESIGN UNIVERSITY,533,246,46.2%
QUEEN'S UNIVERSITY,1692,330,19.5%
ROYAL MILITARY COLLEGE OF CANADA,11,2,18.2%
RYERSON UNIVERSITY,3764,1294,34.4%
TRENT UNIVERSITY,1128,402,35.6%
UNIVERSITY OF GUELPH,2526,652,25.8%
UNIVERSITY OF ONTARIO INSTITUTE OF TECHNOLOGY,967,337,34.9%
UNIVERSITY OF OTTAWA,3410,958,28.1%
UNIVERSITY OF TORONTO,8531,2398,28.1%
UNIVERSITY OF WATERLOO,3273,579,17.7%
UNIVERSITY OF WESTERN ONTARIO,3801,959,25.2%
UNIVERSITY OF WINDSOR,1968,699,35.5%
WILFRID LAURIER UNIVERSITY,1777,401,22.6%
YORK UNIVERSITY,6367,2465,38.7%
ONTARIO UNIVERSITIES TOTAL,49748,14416,29%
