2014 OSAP Repayment Assistance Participation Rates ,,,,,,,
Other Private and Publicly Funded Institutions in Ontario,,,,,,,
INSTITUTION NAME,PROGRAM NAME,# of Borrowers 2011-12 (1),# of 11-12 Borrowers who received Repayment Assistance (2),2014 Repayment Assistance Participation Rate (3),,,
,,,,,,,
CAMPUS D'ALFRED - UNIVERSITY OF GUELPH,TECHNOLOGIE AGRICOLE,*,*,*,,,
,NUTRITION ET SALUBRITE DES ALIMENTS,*,*,*,,,
CAMPUS D'ALFRED - UNIVERSITY OF GUELPH Total,,*,*,*,,,
,,,,,,,
CANADA CHRISTIAN COLLEGE,BACHELOR CHRISTIAN COUNSELLING,7,1,14.3%,,,
,BACHELOR OF RELIGIOUS EDUCATION,*,*,*,,,
,BACHELOR OF SACRED MUSIC,*,*,*,,,
,BACHELOR OF THEOLOGY,*,*,*,,,
,MASTER OF DIVINTIY,*,*,*,,,
,MASTERS OF THEOLOGICAL STUDIES,*,*,*,,,
CANADA CHRISTIAN COLLEGE Total,,18,7,38.9%,,,
,, , , ,,,
CANADIAN COLLEGE OF NATUROPATHIC MEDICINE,NATUROPATHIC MEDICINE,69,42,60.9%,,,
CANADIAN COLLEGE OF NATUROPATHIC MEDICINE Total,,69,42,60.9%,,,
,, ,,,,,
CANADIAN MEMORIAL CHIROPRACTIC COLLEGE,CHIROPRACTIC DEGREE,132,67,50.8%,,,
CANADIAN MEMORIAL CHIROPRACTIC COLLEGE Total,,132,67,50.8%,,,
,, ,,,,,
Notes  (1) Number of students at this institution who were issued an Ontario Student Loan (OSL) and/or a Canada Student Loan (CSL) in 2011/12 ,,,,,,,
                and did not receive OSAP funding in 2012/13.,,,,,,,
           (2) Number of borrowers as defined by (1) who received repayment assistance for one or more six month terms as of July 2014  ,,,,,,,
           (3) Percentage of borrowers who received repayment assistance for 1 or more terms as of July 2014 (2)/(1). ,,,,,,,
"             *   Number of borrowers was less than 5, counts have not been shown but are included in institution totals. ",,,,,,,
,, ,,,,,
CHARLES STURT UNIVERSITY - BURLINGTON,BACHELOR OF EARLY CHILDHOOD STUDIES,7,2,28.6%,,,
,BACHELOR OF PRIMARY EDUCATION STUDIES,62,23,37.1%,,,
CHARLES STURT UNIVERSITY - BURLINGTON Total,,69,25,36.2%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,, , , ,,,
EASTERN ONTARIO SCHOOL OF XRAY TECHNOLOGY,X-RAY TECHNOLOGY,6,1,16.7%,,,
EASTERN ONTARIO SCHOOL OF XRAY TECHNOLOGY Total,,6,1,16.7%,,,
,, ,,,,,
EMMANUEL BIBLE COLLEGE,BACHELOR OF THEOLOGY,5,3,60.0%,,,
,BACHELOR RELIGIOUS EDUCATION,*,*,*,,,
,DIPLOMA IN BIBLICAL STUDIES,*,*,*,,,
,EXPEDITION PLUS,*,*,*,,,
,MOUNTAIN TOP CERTIFICATE,5,2,40.0%,,,
EMMANUEL BIBLE COLLEGE Total,,16,6,37.5%,,,
,, ,,,,,
HERITAGE BAPTIST COLLEGE/HERITAGE THEOLOGICAL SEMINARY,BACHELOR OF RELIGIOUS EDUCATION,*,*,*,,,
,BACHELOR OF CHURCH MUSIC,*,*,*,,,
,BACHELOR OF THEOLOGY,5,3,60.0%,,,
,BACHELOR OF RELIGIOUS EDUCATION,7,3,42.9%,,,
,MASTER OF DIVINITY,*,*,*,,,
,ONE YEAR CERTIFICATE,*,*,*,,,
HERITAGE BAPTIST COLLEGE/HERITAGE THEOLOGICAL SEMINARY Total,,25,6,24.0%,,,
,, ,,,,,
KAWARTHA LAKES BIBLE COLLEGE,BIBLICAL STUDIES,*,*,*,,,
KAWARTHA LAKES BIBLE COLLEGE Total,,*,*,*,,,
,, ,,,,,
KEMPTVILLE CAMPUS - UNIVERSITY OF GUELPH,AGRICULTURE AND HEAVY DUTY EQUIPMENT TECHNICIAN,7,2,28.6%,,,
,AGRI-FOOD LEADERSHIP,*,*,*,,,
,FOOD NUTRITION AND RISK MANAGEMENT,8,0,0.0%,,,
,HORTICULTURE TECHNICIAN CO-OP ,*,*,*,,,
,HORSE INDUSTRY TECHNICIAN,10,4,40.0%,,,
,DIESEL EQUIPMENT MECHANIC,*,*,*,,,
,INDUSTRIAL WELDING AND FABRICATION,6,0,0.0%,,,
,"AGRICULTURE, EQUINE OPTION",14,1,7.1%,,,
,AGRICULTURE ,16,2,12.5%,,,
KEMPTVILLE COLLEGE - UNIVERSITY OF GUELPH Total,,68,11,16.2%,,,
,,,,,,,
MASTER'S COLLEGE AND SEMINARY,BACHELOR OF THEOLOGY,10,2,20.0%,,,
,BACHELOR OF RELIGIOUS EDUCATION,*,*,*,,,
,MINISTERIAL DIPLOMA,6,1,16.7%,,,
MASTER'S COLLEGE AND SEMINARY Total,,18,4,22.2%,,,
,, ,,,,,
MICHENER INSTITUTE FOR APPLIED HEALTH SCIENCE,CHIROPODY,21,4,19.0%,,,
,DIAGNOSTIC CYTOLOGY,8,3,37.5%,,,
,GENETICS TECHNOLOGY,8,1,12.5%,,,
,MEDICAL LABORATORY SCIENCES,33,4,12.1%,,,
,RESPIRATORY THERAPY,26,7,26.9%,,,
,ULTRASOUND,15,1,6.7%,,,
MICHENER INSTITUTE FOR APPLIED HEALTH SCIENCE Total,,111,20,18.0%,,,
,, ,,,,,
NIAGARA PARKS COMMISSION SCHOOL OF HORTICULTURE,ORNAMENTAL HORICULTURE,*,*,*,,,
NIAGARA PARKS COMMISSION SCHOOL OF HORTICULTURE Total,,*,*,*,,,
,,,,,,,
REDEEMER UNIVERSITY COLLEGE,BACHELOR OF ARTS: ART MAJOR,*,*,*,,,
,BACHELOR OF ARTS: BUSINESS MAJOR,15,2,13.3%,,,
,BACHELOR OF ARTS: ENGLISH MAJOR,14,4,28.6%,,,
,BACHELOR OF ARTS: FRENCH MAJOR,*,*,*,,,
,BACHELOR OF ARTS: HISTORY MAJOR,7,1,14.3%,,,
,BACHELOR OF ARTS: PHILOSOPHY MAJOR,*,*,*,,,
,BACHELOR OF ARTS: PHYSICAL EDUCATION MAJOR,*,*,*,,,
,BACHELOR OF ARTS: PSYCHOLOGY MAJOR,12,5,41.7%,,,
,BACHELOR OF ARTS: RECREATION MAJOR,*,*,*,,,
,BACHELOR OF ARTS: SOCIOLOGY MAJOR,*,*,*,,,
,BACHELOR OF ARTS: THEATRE ARTS MAJOR,5,3,60.0%,,,
,BACHELOR OF ARTS: YOUTH MINISTRY MAJOR,*,*,*,,,
,BACHELOR OF ARTS: RELIGION AND THEOLOGY MAJOR,9,2,22.2%,,,
,BACHELOR OF ARTS: SOCIOLOGY - SOCIAL WORK,11,2,18.2%,,,
,BACHELOR OF ARTS: BUSINESS CO-OP,12,1,8.3%,,,
,BACHELOR OF ARTS: BACHELOR OF EDUCATION CONCURRENT,22,6,27.3%,,,
,BACHELOR OF SCIENCE/BACHELOR OF EDUCATION CONCURRENT ,*,*,*,,,
,BACHELOR OF SCIENCE: ENVIRONMENTAL STUDIES MAJOR,*,*,*,,,
,BACHELOR OF SCIENCE: BIOLOGY MAJOR,7,1,14.3%,,,
,BACHELOR OF SCIENCE: CHEMISTRY MAJOR,*,*,*,,,
,BACHELOR OF ARTS: OXFORD,*,*,*,,,
,BACHELOR OF ARTS: MUSIC MAJOR,5,1,20.0%,,,
,BACHELOR OF ARTS,*,*,*,,,
,BACHELOR OF EDUCATION ,13,8,61.5%,,,
,BACHELOR OF SCIENCE: KINESIOLOGY ,*,*,*,,,
REDEEMER UNIVERSITY COLLEGE Total,,160,43,26.9%,,,
,, ,,,,,
RIDGETOWN CAMPUS - UNIVERSITY OF GUELPH,VETERINARY OFFICE ADMINISTRATION,19,7,36.8%,,,
,ENVIRONMENTAL MANAGEMENT,10,5,50.0%,,,
,VETERINARY TECHNOLOGY,17,3,17.6%,,,
,AGRICULTURE,45,3,6.7%,,,
,HORTICULTURE,12,1,8.3%,,,
,VETERNARY TECHNICIAN/ALTERNATIVE ,11,4,36.4%,,,
,PERFORMANCE HORSE HANDLER CERTIFICATE,11,2,18.2%,,,
RIDGETOWN CAMPUS - UNIVERSITY OF GUELPH Total,,125,25,20.0%,,,
,, ,,,,,
TYNDALE UNIVERSITY COLLEGE AND SEMINARY,BACHELOR OF BUSINESS STUDIES: BUSINESS ADMINISTRATION,8,2,25.0%,,,
,BACHELOR HUMAN SERVICES: MODULAR TRACK,*,*,*,,,
,BACHELOR  HUMANITIES: RELIGIOUS STUDIES,19,10,52.6%,,,
,BACHELOR IN HUMANITIES: MAJOR PHILOSOPHY,6,1,16.7%,,,
,BACHELOR IN HUMANITIES: MAJOR ENGLISH,6,1,16.7%,,,
,BACHELOR IN LINGUISTICS,*,*,*,,,
,BACHELOR IN SOCIAL SCIENCE: MAJ PSYCHOLOGY,14,6,42.9%,,,
,BACHELOR IN SOCIAL SCIENCE: MAJOR EARLY CHILDHOOD EDUCATION,*,*,*,,,
,BACHELOR IN SOCIAL SCIENCE: MAJOR SOCIAL SERVICE WORKER,*,*,*,,,
,BACHELOR RELIGIOUS EDUCATION: DEGREE COMPLETION PROGRAM,*,*,*,,,
,BACHELOR OF EDUCATION,30,12,40.0%,,,
,BACHELOR RELIGIOUS EDUCATION,*,*,*,,,
,GRADUATE DIPLOMA,*,*,*,,,
,LEADING EDGE,6,3,50.0%,,,
,MASTER OF DIVINITY ,28,15,53.6%,,,
,MASTER OF DIVINITY - IN MINISTRY,*,*,*,,,
,MASTER THEOLOGICAL STUDIES,7,4,57.1%,,,
,MASTER TECHNICAL SERVICES: MODULAR ,*,*,*,,,
,TRANSITIONS,5,2,40.0%,,,
TYNDALE UNIVERSITY COLLEGE AND SEMINARY Total,,150,65,43.3%,,,
,, ,,,,,
Other Private and Publicly Funded Institutions in Ontario  Total,,978,325,33.2%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
