2014 OSAP Repayment Assistance Participation Rates ,,,,,,,
Private Career Colleges in Ontario,,,,,,,
Institution Name,# of Borrowers 2011-12 (1),# of 11-12 Borrowers who received Repayment Assistance (2),2014 Repayment Assistance Participation Rate (3),,,,
ACAD DE DESSIN DE MODE RICHARD ROBINSON,10,1,10.0%,,,,
ACADEMY APPLIED PHARMACEUTICAL SCIENCES,63,33,52.4%,,,,
ACADEMY OF HAIR PASSION,*,*,*,,,,
ACADEMY OF LEARNING - ETOBICOKE,107,60,56.1%,,,,
ACADEMY OF LEARNING - GUELPH,45,16,35.6%,,,,
ACADEMY OF LEARNING - HAMILTON/MAIN ST.,*,*,*,,,,
ACADEMY OF LEARNING - MISSISSAUGA EAST,50,29,58.0%,,,,
ACADEMY OF LEARNING - OAKVILLE,64,36,56.3%,,,,
ACADEMY OF LEARNING - RICHMOND HILL ,18,11,61.1%,,,,
"ACADEMY OF LEARNING - SCARBOROUGH, LAWRENCE AVE.",44,32,72.7%,,,,
"ACADEMY OF LEARNING - SCARBOROUGH, WARDEN AND SHEPPARD",70,40,57.1%,,,,
"ACADEMY OF LEARNING - TORONTO, BAY ST.",328,181,55.2%,,,,
"ACADEMY OF LEARNING - TORONTO, FINCH AVENUE WEST",52,33,63.5%,,,,
ALGONQUIN CAREERS ACADEMY - MISSISSAUGA,68,26,38.2%,,,,
ALGONQUIN CAREERS ACADEMY - OTTAWA,74,39,52.7%,,,,
"ANDERSON COLLEGE OF HEALTH, BUSINESS AND TECHNOLOGY",71,36,50.7%,,,,
"ASIMCO COLLEGE OF BUSINESS, HEALTH AND TECHNOLOGY",48,22,45.8%,,,,
AUTOMOTIVE TRAINING CENTRE - CAMBRIDGE,*,*,*,,,,
AUTOMOTIVE TRAINING CENTRE - TORONTO,*,*,*,,,,
AVOLA COLLEGE OF HAIRSTYLING AND ESTHETICS,35,13,37.1%,,,,
BIZTECH INSTITUTE,*,*,*,,,,
