2014 OSAP Repayment Assistance Participation Rates ,,,,,,
Postsecondary Sectors in Ontario,,,,,,
,,,,,,
Institution Type,# of Borrowers 2011-12 (1),# of 11-12 Borrowers who received Repayment Assistance (2),2014 Repayment Assistance Participation Rate (3),,,
,,,,,,
Universities,"48,856","15,581",31.9%,,,
Colleges of Applied Arts and Technology,"43,593","15,409",35.3%,,, 
Private Career Colleges,"12,478","5,605",44.9%,,,
Other Private and Public Institutions,978,325,33.2%,,,
ONTARIO TOTAL,"105,905","36,920",34.9%,, ,
,,,,,,
Notes:, ,,,,,
1) Number of borrowers who received Canada-Ontario Integrated Student Loan in 2011-12 and did not receive loans or grants ,,,,,,
through the Ontario Student Assistance Program in 2012-13. ,,,,,,
2) Number of borrowers as per note 1) who were approved for one or more six month terms of repayment assistance for their ,,,,,,
 Canada-Ontario Integrated Student Loan between March 2012 and July 2014. ,,,,,,
3) The percentage of borrowers who received repayment assistance for one or more terms; column 2 divided by column 1.,,,,,,
