2014 OSAP Repayment Assistance Participation Rates by Program,,,,,
Ontario Universities,,,,,
,,,,,
INSTITUTION NAME,PROGRAM NAME,# of Borrowers 2011-12 (1),# of 11-12 Borrowers who received Repayment Assistance (2),2014 Repayment Assistance Participation Rate (3),
ALGOMA UNIVERSITY COLLEGE,Agricultural And Biological Sciences,6,1,16.7%,
,Business and Commerce,36,15,41.7%,
,Computer Science,10,2,20.0%,
,Fine And Applied Arts,11,3,27.3%,
,Humanities,13,4,30.8%,
,Mathematics,*,*,*,
,Other Arts and Science,9,6,66.7%,
,Social Sciences,39,14,35.9%,
ALGOMA UNIVERSITY COLLEGE Total,,125,46,36.8%,
,,, ,,
Notes:, ,,,,
1) Number of borrowers who received Canada-Ontario Integrated Student Loan in 2011-12 and did not receive loans or grants ,,,,,
through the Ontario Student Assistance Program in 2012-13. ,,,,,
2) Number of borrowers as per note 1) who were approved for one or more six month terms of repayment assistance for their ,,,,,
 Canada-Ontario Integrated Student Loan between March 2012 and July 2014. ,,,,,
3) The percentage of borrowers who received repayment assistance for one or more terms; column 2 divided by column 1.,,,,,
* Number of borrowers is less than 5; data suppressed but included in the totals for the institutions. ,,,,,
"Not reported, not applicable - program of studies was either not reported, or not applicable to the student.   ",,,,,
Unmatched - the student record in the OSAP database could not be matched with the university enrolment file.,,,,,
,,,,,
BROCK UNIVERSITY,Agricultural And Biological Sciences,*,*,*,
,Business and Commerce,311,90,28.9%,
,Computer Science,18,3,16.7%,
,Education (Teacher Training),287,73,25.4%,
,Fine And Applied Arts,38,14,36.8%,
,"Kinesiology, Recreation And Physical Education",15,3,20.0%,
,Nursing,43,8,18.6%,
,Other Arts and Science,"1,284",387,30.1%,
,Physical Sciences,*,*,*,
BROCK UNIVERSITY Total,,"2,001",579,28.9%,
,,, ,,
CARLETON UNIVERSITY,Architecture And Landscape Architecture,52,19,36.5%,
,Business and Commerce,174,60,34.5%,
,Computer Science,64,20,31.3%,
,Engineering,269,58,21.6%,
,Fine And Applied Arts,33,11,33.3%,
,Humanities,*,*,*,
,Journalism,56,17,30.4%,
,Mathematics,24,8,33.3%,
,Other Arts and Science,"1,297",535,41.2%,
,Social Sciences,89,33,37.1%,
,Theology,*,*,,
CARLETON UNIVERSITY Total,,"2,064",765,37.1%,
,,,,,
LAKEHEAD UNIVERSITY,Agricultural And Biological Sciences,*,*,*,
,Business and Commerce,44,16,36.4%,
,Education (Teacher Training),274,111,40.5%,
,Engineering,200,36,18.0%,
,Fine And Applied Arts,8,2,25.0%,
,Forestry,23,3,13.0%,
,Humanities,318,109,34.3%,
,"Kinesiology, Recreation And Physical Education",112,42,37.5%,
,Nursing,75,16,21.3%,
,Other Arts and Science,19,4,21.1%,
,Other Health Professions,*,*,*,
,Social Sciences,78,23,29.5%,
LAKEHEAD UNIVERSITY Total,,"1,156",364,31.5%,
,,,,,
LAURENTIAN UNIVERSITY,Agricultural And Biological Sciences,*,*,*,
,Business and Commerce,61,24,39.3%,
,Computer Science,6,2,33.3%,
,Education (Teacher Training),130,30,23.1%,
,Engineering,23,3,13.0%,
,"Kinesiology, Recreation And Physical Education",25,4,16.0%,
,Nursing,55,10,18.2%,
,Other Arts and Science,381,118,31.0%,
,Social Sciences,61,19,31.1%,
LAURENTIAN UNIVERSITY Total,,744,211,28.4%,
,,,,,
MCMASTER UNIVERSITY,Agricultural And Biological Sciences,286,103,36.0%,
,Business and Commerce,358,93,26.0%,
,Computer Science,45,15,33.3%,
,Engineering,676,125,18.5%,
,Fine And Applied Arts,43,17,39.5%,
,Humanities,153,45,29.4%,
,"Kinesiology, Recreation And Physical Education",14,0,0.0%,
,Mathematics,19,7,36.8%,
,Medicine,138,1,0.7%,
,Nursing,109,17,15.6%,
,Other Arts and Science,659,208,31.6%,
,Other Health Professions,169,32,18.9%,
,Physical Sciences,22,1,4.5%,
,Social Sciences,239,92,38.5%,
,Theology,11,6,54.5%,
,Therapy And Rehabilitation,78,17,21.8%,
MCMASTER UNIVERSITY Total,,"3,019",779,25.8%,
,,,,,
NIPISSING UNIVERSITY,Business and Commerce,95,30,31.6%,
,Computer Science,5,1,20.0%,
,Education (Teacher Training),448,126,28.1%,
,Fine And Applied Arts,7,4,57.1%,
,"Kinesiology, Recreation And Physical Education",16,1,6.3%,
,Nursing,57,10,17.5%,
,Other Arts and Science,193,62,32.1%,
,Other Education,8,3,37.5%,
,Social Sciences,21,6,28.6%,
NIPISSING UNIVERSITY Total,,850,243,28.6%,
,,,,,
NORTHERN ONTARIO SCHOOL OF MEDICINE,Medicine,41,3,7.3%,
NORTHERN ONTARIO SCHOOL OF MEDICINE Total,,41,3,7.3%,
,,,,,
ONTARIO COLLEGE OF ART AND DESIGN,Fine And Applied Arts,495,236,47.7%,
ONTARIO COLLEGE OF ART AND DESIGN Total,,495,236,47.7%,
,,,,,
QUEEN'S UNIVERSITY,Business and Commerce,131,21,16.0%,
,Computer Science,23,4,17.4%,
,Education (Teacher Training),356,123,34.6%,
,Engineering,208,39,18.8%,
,Fine And Applied Arts,20,3,15.0%,
,Humanities,27,8,29.6%,
