INSTITUTION NAME,PROGRAM NAME,# of Borrowers 2011-12 (1),# of 11-12 Borrowers who received Repayment Assistance (2),2014 Repayment Assistance Participation Rate (3)
ALGOMA UNIVERSITY COLLEGE,Agricultural And Biological Sciences,6,1,16.7%
ALGOMA UNIVERSITY COLLEGE,Business and Commerce,36,15,41.7%
ALGOMA UNIVERSITY COLLEGE,Computer Science,10,2,20%
ALGOMA UNIVERSITY COLLEGE,Fine And Applied Arts,11,3,27.3%
ALGOMA UNIVERSITY COLLEGE,Humanities,13,4,30.8%
ALGOMA UNIVERSITY COLLEGE,Mathematics,*,*,*
ALGOMA UNIVERSITY COLLEGE,Other Arts and Science,9,6,66.7%
ALGOMA UNIVERSITY COLLEGE,Social Sciences,39,14,35.9%
BROCK UNIVERSITY,Agricultural And Biological Sciences,*,*,*
BROCK UNIVERSITY,Business and Commerce,311,90,28.9%
BROCK UNIVERSITY,Computer Science,18,3,16.7%
BROCK UNIVERSITY,Education (Teacher Training),287,73,25.4%
BROCK UNIVERSITY,Fine And Applied Arts,38,14,36.8%
BROCK UNIVERSITY,"Kinesiology, Recreation And Physical Education",15,3,20%
BROCK UNIVERSITY,Nursing,43,8,18.6%
BROCK UNIVERSITY,Other Arts and Science,1284,387,30.1%
BROCK UNIVERSITY,Physical Sciences,*,*,*
CARLETON UNIVERSITY,Architecture And Landscape Architecture,52,19,36.5%
CARLETON UNIVERSITY,Business and Commerce,174,60,34.5%
CARLETON UNIVERSITY,Computer Science,64,20,31.3%
CARLETON UNIVERSITY,Engineering,269,58,21.6%
CARLETON UNIVERSITY,Fine And Applied Arts,33,11,33.3%
CARLETON UNIVERSITY,Humanities,*,*,*
CARLETON UNIVERSITY,Journalism,56,17,30.4%
CARLETON UNIVERSITY,Mathematics,24,8,33.3%
CARLETON UNIVERSITY,Other Arts and Science,1297,535,41.2%
CARLETON UNIVERSITY,Social Sciences,89,33,37.1%
CARLETON UNIVERSITY,Theology,*,*,
LAKEHEAD UNIVERSITY,Agricultural And Biological Sciences,*,*,*
LAKEHEAD UNIVERSITY,Business and Commerce,44,16,36.4%
LAKEHEAD UNIVERSITY,Education (Teacher Training),274,111,40.5%
LAKEHEAD UNIVERSITY,Engineering,200,36,18%
LAKEHEAD UNIVERSITY,Fine And Applied Arts,8,2,25%
LAKEHEAD UNIVERSITY,Forestry,23,3,13%
LAKEHEAD UNIVERSITY,Humanities,318,109,34.3%
LAKEHEAD UNIVERSITY,"Kinesiology, Recreation And Physical Education",112,42,37.5%
LAKEHEAD UNIVERSITY,Nursing,75,16,21.3%
LAKEHEAD UNIVERSITY,Other Arts and Science,19,4,21.1%
LAKEHEAD UNIVERSITY,Other Health Professions,*,*,*
LAKEHEAD UNIVERSITY,Social Sciences,78,23,29.5%
