Ref_Date,GEO,GROUP,Vector,Coordinate,Value
2006/2007,Canada,Education,v62427282,1.1,4627.000
2007/2008,Canada,Education,v62427282,1.1,4353.000
2008/2009,Canada,Education,v62427282,1.1,4697.000
2009/2010,Canada,Education,v62427282,1.1,4410.000
2010/2011,Canada,Education,v62427282,1.1,4981.000
2011/2012,Canada,Education,v62427282,1.1,5089.000
2012/2013,Canada,Education,v62427282,1.1,5462.000
2013/2014,Canada,Education,v62427282,1.1,5536.000
2014/2015,Canada,Education,v62427282,1.1,5674.000
2015/2016,Canada,Education,v62427282,1.1,5697.000
2016/2017,Canada,Education,v62427282,1.1,5866.000
2017/2018,Canada,Education,v62427282,1.1,5992.000
2006/2007,Canada,"Visual and performing arts, and communications technologies",v62427293,1.2,3679.000
2007/2008,Canada,"Visual and performing arts, and communications technologies",v62427293,1.2,3759.000
2008/2009,Canada,"Visual and performing arts, and communications technologies",v62427293,1.2,4255.000
2009/2010,Canada,"Visual and performing arts, and communications technologies",v62427293,1.2,4562.000
2010/2011,Canada,"Visual and performing arts, and communications technologies",v62427293,1.2,4834.000
2011/2012,Canada,"Visual and performing arts, and communications technologies",v62427293,1.2,4409.000
2012/2013,Canada,"Visual and performing arts, and communications technologies",v62427293,1.2,4890.000
2013/2014,Canada,"Visual and performing arts, and communications technologies",v62427293,1.2,4700.000
2014/2015,Canada,"Visual and performing arts, and communications technologies",v62427293,1.2,4818.000
2015/2016,Canada,"Visual and performing arts, and communications technologies",v62427293,1.2,5202.000
2016/2017,Canada,"Visual and performing arts, and communications technologies",v62427293,1.2,5069.000
2017/2018,Canada,"Visual and performing arts, and communications technologies",v62427293,1.2,5162.000
2006/2007,Canada,Humanities,v62427294,1.3,3531.000
2007/2008,Canada,Humanities,v62427294,1.3,3460.000
2008/2009,Canada,Humanities,v62427294,1.3,3767.000
2009/2010,Canada,Humanities,v62427294,1.3,3979.000
2010/2011,Canada,Humanities,v62427294,1.3,4239.000
2011/2012,Canada,Humanities,v62427294,1.3,4336.000
2012/2013,Canada,Humanities,v62427294,1.3,4522.000
2013/2014,Canada,Humanities,v62427294,1.3,4525.000
2014/2015,Canada,Humanities,v62427294,1.3,4624.000
2015/2016,Canada,Humanities,v62427294,1.3,4619.000
2016/2017,Canada,Humanities,v62427294,1.3,4674.000
2017/2018,Canada,Humanities,v62427294,1.3,4734.000
2006/2007,Canada,"Social and behavioural sciences, and legal studies",v62427295,1.4,3579.000
2007/2008,Canada,"Social and behavioural sciences, and legal studies",v62427295,1.4,3709.000
2008/2009,Canada,"Social and behavioural sciences, and legal studies",v62427295,1.4,3990.000
2009/2010,Canada,"Social and behavioural sciences, and legal studies",v62427295,1.4,4109.000
2010/2011,Canada,"Social and behavioural sciences, and legal studies",v62427295,1.4,4605.000
2011/2012,Canada,"Social and behavioural sciences, and legal studies",v62427295,1.4,4556.000
2012/2013,Canada,"Social and behavioural sciences, and legal studies",v62427295,1.4,5020.000
2013/2014,Canada,"Social and behavioural sciences, and legal studies",v62427295,1.4,5103.000
2014/2015,Canada,"Social and behavioural sciences, and legal studies",v62427295,1.4,5325.000
2015/2016,Canada,"Social and behavioural sciences, and legal studies",v62427295,1.4,5460.000
2016/2017,Canada,"Social and behavioural sciences, and legal studies",v62427295,1.4,5829.000
2017/2018,Canada,"Social and behavioural sciences, and legal studies",v62427295,1.4,5932.000
2006/2007,Canada,Law,v62427296,1.5,3272.000
2007/2008,Canada,Law,v62427296,1.5,3813.000
2008/2009,Canada,Law,v62427296,1.5,3773.000
2009/2010,Canada,Law,v62427296,1.5,4477.000
2010/2011,Canada,Law,v62427296,1.5,4487.000
2011/2012,Canada,Law,v62427296,1.5,5302.000
2012/2013,Canada,Law,v62427296,1.5,5373.000
2013/2014,Canada,Law,v62427296,1.5,5834.000
2014/2015,Canada,Law,v62427296,1.5,5758.000
2015/2016,Canada,Law,v62427296,1.5,6148.000
2016/2017,Canada,Law,v62427296,1.5,5757.000
2017/2018,Canada,Law,v62427296,1.5,5874.000
2006/2007,Canada,"Business, management and public administration",v62427297,1.6,14879.000
2007/2008,Canada,"Business, management and public administration",v62427297,1.6,5225.000
2008/2009,Canada,"Business, management and public administration",v62427297,1.6,5760.000
2009/2010,Canada,"Business, management and public administration",v62427297,1.6,6175.000
