Ref_Date,GEO,GROUP,Vector,Coordinate,Value
2006/2007,Canada,Education,v62427112,1.1,3373.000
2007/2008,Canada,Education,v62427112,1.1,3545.000
2008/2009,Canada,Education,v62427112,1.1,3652.000
2009/2010,Canada,Education,v62427112,1.1,3739.000
2010/2011,Canada,Education,v62427112,1.1,3850.000
2011/2012,Canada,Education,v62427112,1.1,3804.000
2012/2013,Canada,Education,v62427112,1.1,4273.000
2013/2014,Canada,Education,v62427112,1.1,4394.000
2014/2015,Canada,Education,v62427112,1.1,4482.000
2015/2016,Canada,Education,v62427112,1.1,4514.000
2016/2017,Canada,Education,v62427112,1.1,4571.000
2017/2018,Canada,Education,v62427112,1.1,4676.000
2006/2007,Canada,"Visual and performing arts, and communications technologies",v62427121,1.2,3991.000
2007/2008,Canada,"Visual and performing arts, and communications technologies",v62427121,1.2,4239.000
2008/2009,Canada,"Visual and performing arts, and communications technologies",v62427121,1.2,4377.000
2009/2010,Canada,"Visual and performing arts, and communications technologies",v62427121,1.2,4592.000
2010/2011,Canada,"Visual and performing arts, and communications technologies",v62427121,1.2,4748.000
2011/2012,Canada,"Visual and performing arts, and communications technologies",v62427121,1.2,4591.000
2012/2013,Canada,"Visual and performing arts, and communications technologies",v62427121,1.2,5002.000
2013/2014,Canada,"Visual and performing arts, and communications technologies",v62427121,1.2,5138.000
2014/2015,Canada,"Visual and performing arts, and communications technologies",v62427121,1.2,5211.000
2015/2016,Canada,"Visual and performing arts, and communications technologies",v62427121,1.2,5464.000
2016/2017,Canada,"Visual and performing arts, and communications technologies",v62427121,1.2,5680.000
2017/2018,Canada,"Visual and performing arts, and communications technologies",v62427121,1.2,5842.000
2006/2007,Canada,Humanities,v62427122,1.3,4336.000
2007/2008,Canada,Humanities,v62427122,1.3,4342.000
2008/2009,Canada,Humanities,v62427122,1.3,4364.000
2009/2010,Canada,Humanities,v62427122,1.3,4525.000
2010/2011,Canada,Humanities,v62427122,1.3,4638.000
2011/2012,Canada,Humanities,v62427122,1.3,4769.000
2012/2013,Canada,Humanities,v62427122,1.3,4941.000
