Ref_Date,GEO,STUDY,Vector,Coordinate,Value
2006/2007,Canada,Canadian undergraduate,v107791652,1.1,5008
2006/2007,Canada,Canadian graduate,v107791653,1.2,5999
2006/2007,Newfoundland and Labrador,Canadian undergraduate,v107791654,2.1,3109
2006/2007,Newfoundland and Labrador,Canadian graduate,v107791655,2.2,2572
2006/2007,Prince Edward Island,Canadian undergraduate,v107791656,3.1,5648
2006/2007,Prince Edward Island,Canadian graduate,v107791657,3.2,3421
2006/2007,Nova Scotia,Canadian undergraduate,v107791658,4.1,7111
2006/2007,Nova Scotia,Canadian graduate,v107791659,4.2,8054
2006/2007,New Brunswick,Canadian undergraduate,v107791660,5.1,5796
2006/2007,New Brunswick,Canadian graduate,v107791661,5.2,5331
2006/2007,Quebec,Canadian undergraduate,v107791662,6.1,2506
2006/2007,Quebec,Canadian graduate,v107791663,6.2,2674
2006/2007,Ontario,Canadian undergraduate,v107791664,7.1,5835
2006/2007,Ontario,Canadian graduate,v107791665,7.2,9167
2006/2007,Manitoba,Canadian undergraduate,v107791666,8.1,3801
2006/2007,Manitoba,Canadian graduate,v107791667,8.2,5094
2006/2007,Saskatchewan,Canadian undergraduate,v107791668,9.1,5228
2006/2007,Saskatchewan,Canadian graduate,v107791669,9.2,3304
2006/2007,Alberta,Canadian undergraduate,v107791670,10.1,5338
2006/2007,Alberta,Canadian graduate,v107791671,10.2,6091
2006/2007,British Columbia,Canadian undergraduate,v107791672,11.1,5235
2006/2007,British Columbia,Canadian graduate,v107791673,11.2,6087
2007/2008,Canada,Canadian undergraduate,v107791652,1.1,5231
2007/2008,Canada,Canadian graduate,v107791653,1.2,6303
2007/2008,Newfoundland and Labrador,Canadian undergraduate,v107791654,2.1,3102
2007/2008,Newfoundland and Labrador,Canadian graduate,v107791655,2.2,4633
2007/2008,Prince Edward Island,Canadian undergraduate,v107791656,3.1,5177
2007/2008,Prince Edward Island,Canadian graduate,v107791657,3.2,3612
2007/2008,Nova Scotia,Canadian undergraduate,v107791658,4.1,6969
2007/2008,Nova Scotia,Canadian graduate,v107791659,4.2,8175
2007/2008,New Brunswick,Canadian undergraduate,v107791660,5.1,6010
2007/2008,New Brunswick,Canadian graduate,v107791661,5.2,5555
2007/2008,Quebec,Canadian undergraduate,v107791662,6.1,2675
2007/2008,Quebec,Canadian graduate,v107791663,6.2,3023
2007/2008,Ontario,Canadian undergraduate,v107791664,7.1,6119
2007/2008,Ontario,Canadian graduate,v107791665,7.2,9251
2007/2008,Manitoba,Canadian undergraduate,v107791666,8.1,3792
2007/2008,Manitoba,Canadian graduate,v107791667,8.2,5131
2007/2008,Saskatchewan,Canadian undergraduate,v107791668,9.1,5612
2007/2008,Saskatchewan,Canadian graduate,v107791669,9.2,4054
2007/2008,Alberta,Canadian undergraduate,v107791670,10.1,5763
2007/2008,Alberta,Canadian graduate,v107791671,10.2,7064
2007/2008,British Columbia,Canadian undergraduate,v107791672,11.1,5537
2007/2008,British Columbia,Canadian graduate,v107791673,11.2,7066
2008/2009,Canada,Canadian undergraduate,v107791652,1.1,5448
2008/2009,Canada,Canadian graduate,v107791653,1.2,6483
2008/2009,Newfoundland and Labrador,Canadian undergraduate,v107791654,2.1,3111
2008/2009,Newfoundland and Labrador,Canadian graduate,v107791655,2.2,3420
2008/2009,Prince Edward Island,Canadian undergraduate,v107791656,3.1,5305
2008/2009,Prince Edward Island,Canadian graduate,v107791657,3.2,3440
2008/2009,Nova Scotia,Canadian undergraduate,v107791658,4.1,6658
2008/2009,Nova Scotia,Canadian graduate,v107791659,4.2,8583
2008/2009,New Brunswick,Canadian undergraduate,v107791660,5.1,5908
2008/2009,New Brunswick,Canadian graduate,v107791661,5.2,5581
2008/2009,Quebec,Canadian undergraduate,v107791662,6.1,2782
2008/2009,Quebec,Canadian graduate,v107791663,6.2,2936
2008/2009,Ontario,Canadian undergraduate,v107791664,7.1,6452
2008/2009,Ontario,Canadian graduate,v107791665,7.2,9032
2008/2009,Manitoba,Canadian undergraduate,v107791666,8.1,3833
