"","Ref_Date","GEO","SCHOOL","REVENUE","FUND","revenueAmount"
"1","2000/2001","Canada","Total universities and colleges","Total revenues","Total funds (x 1,000)",16224715
"2","2001/2002","Canada","Total universities and colleges","Total revenues","Total funds (x 1,000)",17231250
"3","2002/2003","Canada","Total universities and colleges","Total revenues","Total funds (x 1,000)",18488133
"4","2003/2004","Canada","Total universities and colleges","Total revenues","Total funds (x 1,000)",21647925
"5","2004/2005","Canada","Total universities and colleges","Total revenues","Total funds (x 1,000)",22687437
"6","2005/2006","Canada","Total universities and colleges","Total revenues","Total funds (x 1,000)",24705347
"7","2006/2007","Canada","Total universities and colleges","Total revenues","Total funds (x 1,000)",26458623
"8","2007/2008","Canada","Total universities and colleges","Total revenues","Total funds (x 1,000)",27201804
"9","2008/2009","Canada","Total universities and colleges","Total revenues","Total funds (x 1,000)",26405228
"10","2009/2010","Canada","Total universities and colleges","Total revenues","Total funds (x 1,000)",31929458
"11","2010/2011","Canada","Total universities and colleges","Total revenues","Total funds (x 1,000)",32554004
"12","2011/2012","Canada","Total universities and colleges","Total revenues","Total funds (x 1,000)",32085344
"13","2012/2013","Canada","Total universities and colleges","Total revenues","Total funds (x 1,000)",33582495
"14","2013/2014","Canada","Total universities and colleges","Total revenues","Total funds (x 1,000)",35071107
"15","2014/2015","Canada","Total universities and colleges","Total revenues","Total funds (x 1,000)",35898986
"16","2015/2016","Canada","Total universities and colleges","Total revenues","Total funds (x 1,000)",34761775
"1617","2000/2001","Canada","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",3052960
"1618","2001/2002","Canada","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",3319524
"1619","2002/2003","Canada","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",3777453
"1620","2003/2004","Canada","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",4358013
"1621","2004/2005","Canada","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",4706894
"1622","2005/2006","Canada","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",4943699
"1623","2006/2007","Canada","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",5216088
"1624","2007/2008","Canada","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",5454375
"1625","2008/2009","Canada","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",5853354
"1626","2009/2010","Canada","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",6482539
"1627","2010/2011","Canada","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",7001393
"1628","2011/2012","Canada","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",7545114
"1629","2012/2013","Canada","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",8108641
"1630","2013/2014","Canada","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",8663862
"1631","2014/2015","Canada","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",9158307
"1632","2015/2016","Canada","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",9694840
"11137","2000/2001","Newfoundland and Labrador","Total universities and colleges","Total revenues","Total funds (x 1,000)",268822
"11138","2001/2002","Newfoundland and Labrador","Total universities and colleges","Total revenues","Total funds (x 1,000)",281413
"11139","2002/2003","Newfoundland and Labrador","Total universities and colleges","Total revenues","Total funds (x 1,000)",292749
"11140","2003/2004","Newfoundland and Labrador","Total universities and colleges","Total revenues","Total funds (x 1,000)",330543
"11141","2004/2005","Newfoundland and Labrador","Total universities and colleges","Total revenues","Total funds (x 1,000)",360281
"11142","2005/2006","Newfoundland and Labrador","Total universities and colleges","Total revenues","Total funds (x 1,000)",404088
