"","Ref_Date","GEO","SCHOOL","EXPENDITURE","FUNDFUNCTION","expenditureAmount"
"257","2000/2001","Canada","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",8879147
"258","2001/2002","Canada","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",9521822
"259","2002/2003","Canada","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",10491362
"260","2003/2004","Canada","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",11421499
"261","2004/2005","Canada","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",12359332
"262","2005/2006","Canada","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",13116816
"263","2006/2007","Canada","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",13935214
"264","2007/2008","Canada","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",14903302
"265","2008/2009","Canada","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",15858010
"266","2009/2010","Canada","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",16993122
"267","2010/2011","Canada","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",17393239
"268","2011/2012","Canada","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",18550336
"269","2012/2013","Canada","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",19220616
"270","2013/2014","Canada","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",20061849
"271","2014/2015","Canada","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",20359961
"272","2015/2016","Canada","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",20821255
"15761","2000/2001","Newfoundland and Labrador","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",164070
"15762","2001/2002","Newfoundland and Labrador","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",182647
"15763","2002/2003","Newfoundland and Labrador","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",200242
"15764","2003/2004","Newfoundland and Labrador","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",216283
"15765","2004/2005","Newfoundland and Labrador","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",224027
"15766","2005/2006","Newfoundland and Labrador","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",232144
"15767","2006/2007","Newfoundland and Labrador","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",242647
"15768","2007/2008","Newfoundland and Labrador","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",267692
"15769","2008/2009","Newfoundland and Labrador","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",292200
"15770","2009/2010","Newfoundland and Labrador","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",321066
"15771","2010/2011","Newfoundland and Labrador","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",348123
"15772","2011/2012","Newfoundland and Labrador","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",379423
"15773","2012/2013","Newfoundland and Labrador","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",406828
"15774","2013/2014","Newfoundland and Labrador","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",420096
"15775","2014/2015","Newfoundland and Labrador","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",429522
"15776","2015/2016","Newfoundland and Labrador","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",422900
"31265","2000/2001","Prince Edward Island","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",36697
"31266","2001/2002","Prince Edward Island","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",40615
"31267","2002/2003","Prince Edward Island","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",45201
"31268","2003/2004","Prince Edward Island","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",49229
"31269","2004/2005","Prince Edward Island","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",51996
"31270","2005/2006","Prince Edward Island","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",55405
"31271","2006/2007","Prince Edward Island","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",60498
"31272","2007/2008","Prince Edward Island","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",63339
"31273","2008/2009","Prince Edward Island","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",68472
