"","Ref_Date","GEO","SCHOOL","REVENUE","FUND","revenueAmount"
"1","2000/2001","Canada","Total universities and colleges","Total revenues","Total funds (x 1,000)",16224715
"2","2001/2002","Canada","Total universities and colleges","Total revenues","Total funds (x 1,000)",17231250
"3","2002/2003","Canada","Total universities and colleges","Total revenues","Total funds (x 1,000)",18488133
"4","2003/2004","Canada","Total universities and colleges","Total revenues","Total funds (x 1,000)",21647925
"5","2004/2005","Canada","Total universities and colleges","Total revenues","Total funds (x 1,000)",22687437
"6","2005/2006","Canada","Total universities and colleges","Total revenues","Total funds (x 1,000)",24705347
"7","2006/2007","Canada","Total universities and colleges","Total revenues","Total funds (x 1,000)",26458623
"8","2007/2008","Canada","Total universities and colleges","Total revenues","Total funds (x 1,000)",27201804
"9","2008/2009","Canada","Total universities and colleges","Total revenues","Total funds (x 1,000)",26405228
"10","2009/2010","Canada","Total universities and colleges","Total revenues","Total funds (x 1,000)",31929458
"11","2010/2011","Canada","Total universities and colleges","Total revenues","Total funds (x 1,000)",32554004
"12","2011/2012","Canada","Total universities and colleges","Total revenues","Total funds (x 1,000)",32085344
"13","2012/2013","Canada","Total universities and colleges","Total revenues","Total funds (x 1,000)",33582495
"14","2013/2014","Canada","Total universities and colleges","Total revenues","Total funds (x 1,000)",35071107
"15","2014/2015","Canada","Total universities and colleges","Total revenues","Total funds (x 1,000)",35898986
"16","2015/2016","Canada","Total universities and colleges","Total revenues","Total funds (x 1,000)",34761775
"11137","2000/2001","Newfoundland and Labrador","Total universities and colleges","Total revenues","Total funds (x 1,000)",268822
"11138","2001/2002","Newfoundland and Labrador","Total universities and colleges","Total revenues","Total funds (x 1,000)",281413
"11139","2002/2003","Newfoundland and Labrador","Total universities and colleges","Total revenues","Total funds (x 1,000)",292749
"11140","2003/2004","Newfoundland and Labrador","Total universities and colleges","Total revenues","Total funds (x 1,000)",330543
"11141","2004/2005","Newfoundland and Labrador","Total universities and colleges","Total revenues","Total funds (x 1,000)",360281
"11142","2005/2006","Newfoundland and Labrador","Total universities and colleges","Total revenues","Total funds (x 1,000)",404088
"11143","2006/2007","Newfoundland and Labrador","Total universities and colleges","Total revenues","Total funds (x 1,000)",421769
"11144","2007/2008","Newfoundland and Labrador","Total universities and colleges","Total revenues","Total funds (x 1,000)",435342
"11145","2008/2009","Newfoundland and Labrador","Total universities and colleges","Total revenues","Total funds (x 1,000)",478212
"11146","2009/2010","Newfoundland and Labrador","Total universities and colleges","Total revenues","Total funds (x 1,000)",544358
"11147","2010/2011","Newfoundland and Labrador","Total universities and colleges","Total revenues","Total funds (x 1,000)",590406
"11148","2011/2012","Newfoundland and Labrador","Total universities and colleges","Total revenues","Total funds (x 1,000)",680671
"11149","2012/2013","Newfoundland and Labrador","Total universities and colleges","Total revenues","Total funds (x 1,000)",708958
"11150","2013/2014","Newfoundland and Labrador","Total universities and colleges","Total revenues","Total funds (x 1,000)",675933
"11151","2014/2015","Newfoundland and Labrador","Total universities and colleges","Total revenues","Total funds (x 1,000)",681986
"11152","2015/2016","Newfoundland and Labrador","Total universities and colleges","Total revenues","Total funds (x 1,000)",621889
"22273","2000/2001","Prince Edward Island","Total universities and colleges","Total revenues","Total funds (x 1,000)",63238
"22274","2001/2002","Prince Edward Island","Total universities and colleges","Total revenues","Total funds (x 1,000)",71115
"22275","2002/2003","Prince Edward Island","Total universities and colleges","Total revenues","Total funds (x 1,000)",91438
"22276","2003/2004","Prince Edward Island","Total universities and colleges","Total revenues","Total funds (x 1,000)",83268
"22277","2004/2005","Prince Edward Island","Total universities and colleges","Total revenues","Total funds (x 1,000)",96085
